Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
krisdayantilemos,8082677,19130.35,135.52,0.2384,0.1527,156,11,101,44,4.724,"{'pilkada2024': 13, 'pilkadakotabatu': 12, 'krida': 34, 'batuseru': 26, 'kotabatu': 68, 'koncodewe': 25, 'krisdayanti': 62, 'kotabatumaju': 35, 'umkmkotabatu': 14, 'kotabatumalang': 3, 'pdiperjuanganjatim': 13, 'rismagushans': 3, 'pdiperjuangan': 15, 'resikresikjawatimur': 3, 'trirismaharini': 2, 'batumaju': 7, 'aspirasibersama': 1, 'suarakanperubahan': 1, 'kd': 2, '3diva': 1, 'gwk': 1, 'wanitamandiri': 1, 'cintabudayabatu': 1, 'bantenganbatu': 2, 'banggabatu': 1, 'mudaberbudaya': 1, 'lestarikantradisi': 1, 'batukotakita': 1, 'gkjwbatu': 1, 'teraskrida': 13, 'masdewa': 12, 'kotabatuistimewa': 12, 'login': 12, 'kolaborasa': 12, 'kolaborasyik': 12, 'tandangbareng': 12, 'tandangbener': 12, 'tandangtemen': 12, 'umkm': 12, 'pilkadakotabatu2024': 13, 'susubatu': 1, 'batumendunia': 2, 'produklokalbatu': 1, 'kridanita': 2, 'umkmbatu': 4, 'bungakotabatu': 1, 'bungapotongsegar': 1, 'bungasegarkotabatu': 1, 'bawanggorengcanggih': 1, 'kridabersamaumkm': 1, 'petanibatu': 3, 'petanikotabatu': 2, 'pertanianmaju': 1, 'pilgubjatim': 2, 'jawatimur': 3, 'gushans': 1, '1111': 1, 'wayangkulit': 2, 'melestarikanbudaya': 2, 'senitradisional': 2, 'hariwayangnasional': 3, 'srikandikridha': 2, 'krisdayantilemos': 2, 'petanisejahtera': 2, 'pertanianbatu': 1, 'teknologipertanian': 1, 'pembangunanbatu': 2, 'pendidikangratis': 1, 'pelindungananak': 1, 'kebudayaanbatu': 2, 'debatpilkadakotabatu': 1, 'repost': 6, 'temanpemilih': 2, 'kpumelayani': 2, 'pilkadaserentak2024': 2, 'pilkadasantunbeda': 2, 'anggaanggi': 2, 'debatpublik': 2, 'kerukunanumatberagama': 1, 'ldii': 1, 'srikandikrida': 1, 'mendunia': 1, 'cintabatu': 1, 'majubatu': 1, 'pemimpinbatu': 1, 'visibatu': 1, 'batuwisata': 1, 'pilkadabatu2024': 5, 'sekjenpdiperjuangan': 1, 'risma': 1, 'rempeyekistimewa': 1, 'iburisma': 1, 'pemimpininspiratif': 1, 'mimbarakademik': 1, 'malangraya': 1, 'pembangunanberkelanjutan': 1, 'universitasbrawijaya': 1, 'albumionser': 1, 'albumkonserkd': 1, 'komsersemestakrisdayantiaudio': 1, 'konserkd2023': 1, 'mawarbatu': 1, 'jatimresik': 1, 'jagonyamusik': 5, 'kfcindonesia': 4, 'wushuindonesia': 1, 'budayalokal': 1, 'mberot': 1, 'kresnadewanata': 1, 'tongsongopercussion': 1, 'budayakotabatu': 1, 'debatkpukotabatu': 1, 'walikotabatu': 2, 'calonwalikotabatu': 2, 'batumalang': 2, 'divaindonesia': 1, 'debatcalonwalikotabatu': 1, 'pasaramongtani': 1, 'amongtanibatu': 1, 'wealthexpo': 1, 'pilkadabatu': 1, 'pilwakotbatu': 1, 'toleransiberagama': 1, 'dhammadipaarama': 1, 'gerabahbatu': 1, 'jobfair': 1, 'senimanberkarya': 1, 'budidayaanggrek': 1, 'kompetisianggreknasional': 1, 'anggrekbatu': 1, 'perubahanpositif': 1, 'amoralemos': 1, 'aurelhermansyah': 1, 'livealbumkonsersemesta': 1, 'timangtimang': 1, 'bertubitubi': 1, 'batikredsoga': 1, 'pesonabatu': 1, 'banggabuatanindonesia': 1, 'batikgointernational': 1, 'kotabatumendunia': 1, 'bantengankotabatu': 1, 'batikbatu': 1, 'genb': 2, 'genbanteng': 2, 'pdip': 2, 'pilkadajatim': 1, 'megawati': 1, 'megawatisoekarnoputri': 1, 'top1': 1, 'topsellingchart': 1, 'konsersemestakrisdayanti': 1, 'pedulitani': 1, 'krisdayantiuntukbatu': 1, 'gerebekwarga': 1, 'temuwarga': 1, 'tokokainnavin': 1, 'daribatuuntukbatu': 1, 'pilkada': 1, 'superdiva': 1, 'konsersuperdiva': 3, 'jeepgirl': 1, 'mawarbatugointernational': 1, 'kesejahteraanpetani': 1, 'mawarberkualitas': 1, 'petanimaju': 2, 'gunungsari': 1, 'dukungproduklokal': 1, 'kulinerkhasbatu': 1, 'kulinerlegendaris': 1, 'jaminankesehatan': 1, 'wisatakesehatanbatu': 1, 'grebegkoncodewe': 1, 'dusunkrajan': 1, 'petaniapel': 1, 'apelbatu': 1, 'gointernational': 1, 'desagunungsari': 1, 'petanibunga': 1, 'sapiperah': 1, 'batugointernational': 1, 'pesantrengodigital': 1, 'ponpeshadramaut': 1, 'inovasipendidikan': 1, 'umkmindonesia': 1, 'umkmnaikkelas': 1, 'umkmmalang': 1, 'dukungwisatalokal': 1, 'explorebatu': 1, 'jatimpark1': 1, 'nasdem': 1, 'kotabatubersih': 2, 'batupedulilingkungan': 2, 'batuzerowaste': 2, 'kelolasampah': 2, 'sampahbijak': 2, 'batusehattanpasampah': 2, 'timelesshermony': 1, 'aremania': 1, 'tragedikanjuruhan': 1, 'pilwalkotbatu': 1, 'makinhepidiruangdigital': 2, 'bedahrumah': 1, 'kesejahteraanrakyat': 1, 'artexhibition': 1, 'batukreatif': 1, 'dukungumkm': 1, 'umkmbatumaju': 1, 'ekonomilokal': 1, 'kemandiriankota': 1, 'lansiatangguh': 2, 'bersamauntukrakyat': 2, 'krisdayantipeduli': 1, 'disabilitasberdaya': 1, 'lingkunganbersih': 1, 'krisdayantiuntukpetani': 1, 'inovasipertanian': 1, 'aspirasiuntukpetani': 1, 'pertaniancerdas': 1, 'gerebekkoncodewe': 2, 'pedulistunting': 1, 'kesehatananak': 1, 'apeldanbunga': 1, 'kotawisata': 1, 'sambangwarga': 1, 'petanibungabatu': 1, 'petaniapelbatu': 1, 'perekonomianlokal': 1, 'pilkadadamai': 1, 'kotabatu2024': 1, 'serukankotabatu': 1}"
jeromepolin,8580337,293140.57,3361.57,3.4556,1.93,52,3,30,19,0.923,"{'malakaprojectxkapalapi': 1, 'discoveringwellness': 1, 'matematika': 5, 'mantappuacademy': 1, 'senyuminduluaja': 1, 'diaryjerome': 3, 'ajinomotohealthprovider': 1, 'pesanbuatjerawat': 1, 'eksponen': 1, 'casablancahomme': 1, 'scentsthatmaximizeyou': 1, 'satsetstrepsils': 1, 'leminerale': 1, 'lemin': 1, 'kebaikanmineralterlindungi': 1, 'galaxys24': 1, 'galaxys24fans': 1, 'galaxyal': 1, 'almpoweryou': 1, 'cpns': 1, 'jeromepolin': 2, 'gemini': 1, 'geminiacademy': 1, 'tissotmotogp': 2, 'tissotmandalikagp': 2, 'officialtimekeeper': 2, 'watchcornerid': 2, 'tissot': 1, 'tissotindonesia': 1, 'timeinternational': 2, 'nutrisinikmatindonesiadukungakalcermat': 1, 'frisianflaguhtomega': 1, 'kekuatanuntukmenang': 1, 'math': 1, 'motogp': 1, 'mandalika': 1}"
therealtarzann,12257876,124797.05,1742.66,1.0323,0.5869,203,7,159,37,0.473,"{'kingcobra': 3, 'indonesia': 5, 'instagram': 1, 'india': 2, 'reelsinstagram': 1, 'instagood': 1, 'snake': 1, 'explore': 1, 'dogsofinstagram': 1, 'cats': 1, 'animals': 3, 'viral': 2, 'cnn': 1, 'nbc': 1, 'bbc': 1, 'news': 1, 'workout': 1, 'reels': 1, 'music': 1, 'brasil': 1, 'tehran': 2, 'iran': 2, 'uzbekistan': 1, 'china': 1, 'wildencounters': 1, 'greenanaconda': 1, 'underwateradventure': 1, 'amazon': 1, 'snakes': 1, 'wildlife': 1, 'crazy': 1, 'unique': 1, 'adventure': 1, 'mysterious': 1, 'bliss': 1, 'venezuela': 3, 'travel': 1, 'spermwhale': 1, 'oceangiant': 1, 'deepsealegend': 1, 'whale': 1, 'whatabeautifullife': 1, 'peace': 1, 'power': 1, 'giant': 1, 'apex': 1, 'predator': 1, 'ocean': 1, 'oceanlife': 1, 'oceanlover': 1, 'moodeng': 1, 'hippo': 1, 'africa': 1, '1': 2, 'fastandfurious': 1, 'family': 1, 'iam1stphorm': 3, 'australia': 1, 'architecture': 1, 'bamboo': 1, 'neios': 1, 'recovery': 1, 'pemf': 1, 'shockwavetherapy': 1, 'hyperbaricchamber': 1, 'exoticanimalexpert': 1, 'mumbai': 1, 'baldeagle': 1, 'usa': 1, 'america': 1, 'merica': 1, 'alshadahmad': 1, 'persaudaraan': 1, 'perjalanansatwaliar': 1, 'pengalamanblackhouse': 1, 'poweredby1stphorm': 3, 'anaconda': 1}"
ahmedzamzamzm,1310612,83808.22,364.41,6.4224,4.411,2,0,1,1,0,{}
kayla.nadira,1342110,102364.91,457.03,7.6612,6.766,9,0,3,6,0,{}
miktambayong,7107972,56804.89,609.46,0.8077,0.5424,37,3,6,28,0.784,"{'ultimaii': 3, 'myhydraritual': 1, 'hydrabotanic': 2, 'timelessultimatebeauty': 2, 'hydraritual': 1, 'cfc': 1, 'ipanemawithmikha': 3, 'ipanemaclub': 3, 'ipanemaindonesia': 2, 'bvlgari': 2, 'bvlgarijewelry': 2, 'dilanjutkansalahdisudahiperih': 1, 'bzero1': 1, 'dsdp': 1, 'mikhatambayong': 1, 'worldheartday': 1, 'wpmc2024': 1, 'ultimaiiturns65': 1}"
giorgino_abraham,6181000,67488.02,409.78,1.0985,0.4769,26,7,7,12,1.192,"{'fromindototheworld': 3, 'atlasbeachfest': 1, 'atlassuperclub': 1, 'neverstopflying': 1, 'atlasphere': 1, 'nightclub': 1, 'bestnightclubbali': 1, 'biggestnightclubbali': 1, 'bali': 1, 'canggu': 1, 'lancomeid': 1, 'genifique': 1, 'diorsauvage': 1, 'poweredbywater': 1, 'diorbeauty': 1, 'nontondiwetv': 2, 'wetvindonesia': 2, 'wetvid': 2, 'wetvoriginal': 2, 'jangansalahkanakuselingkuh': 2, 'marshanda': 1, 'giorginoabraham': 2, 'sekotengs': 1}"
gebiann,1899021,168822.75,621.81,8.9227,8.8957,6,0,2,4,0,{}
pokimanelol,5852531,464817.15,2515.07,7.9851,4.7334,7,0,3,4,0,{}
nitavior,2451910,,,,10.0871,25,1,13,11,1.32,"{'galaxyzfold6': 2, 'galaxyai': 2, 'quickshareyourstyle': 1, 'souvenirpernikahan': 1, 'weddingviorvincent': 1, 'hillmore': 1, 'vioreverwithvincent': 3, 'jakartaweddingdecor': 1, 'weddinginspiration': 1, 'weddingdecorjakarta': 2, 'jakartaweddingideas': 1, 'flowerarrangements': 1, 'luxuryweddings': 1, 'weddingdecoration': 1, 'weddingdecor': 1, 'ballroomwedding': 1, 'stevedecor': 1, 'weddingdecorsurabaya': 1, 'weddingdecorsemarang': 1, 'weddingdecorbali': 1, 'weddingdecormakassar': 1, 'teamgalaxy': 1, 'samsungxvior': 1, 'thenextstepseason2': 1, 'axiootonny': 2, 'axioostevengun': 2}"
