Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
brendaper,3119,137.67,11.77,4.7915,2.1588,3,0,2,1,2.33,"{'brazil': 1, 'dogs': 1, 'pets': 1, 'cute': 1, 'viral': 1, 'love': 1, 'cats': 1}"
icarriere.yoga,5154,53.52,9.97,1.232,2.5094,6,0,6,0,5,"{'yogalisboa': 4, 'bhavacascais': 3, 'yogacarcavelos': 3, 'yogacascais': 3, 'escolayogabhava': 3, 'bhavatribe': 3, 'yogalifestyle': 3, 'yogachallenge': 2, 'meditacaolisboa': 2, 'bams': 1, 'hitt': 1, 'respiracaoconsciente': 1, 'aniversário': 1}"
pantherwisdom,3562,161.98,9.58,4.8161,0,0,0,0,0,-,-
brandonmeyer39,3970,166.84,4.92,4.3263,0,0,0,0,0,-,-
ryan_tattoos,4018,55.9,2.28,1.4479,0,0,0,0,0,-,-
glauco_comoretto,4028,72.64,0.78,1.8228,1.3189,8,0,3,5,7.13,"{'weddinginveniceitaly': 1, 'weddinginvenice': 3, 'weddingphotography': 2, 'weddingphotographervenice': 1, 'weddingphotographerveniceitaly': 1, 'weddinginitaly': 1, 'weddingphotographeritaly': 1, 'jwmarriottvenice': 1, 'veniceweddingphotographer': 1, 'destinationveddingvenue': 1, 'lakecomoweddings': 1, 'vincenzodascanio': 1, 'latirlindana': 1, 'luxuryweddings': 1, 'brigadeevents': 1, 'kluxury': 1, 'weddinginspo': 1, 'italianelegance': 1, 'destinationwedding': 2, 'loveonlakecomo': 1, 'udinesecalcio': 1, 'hospitalityexperience': 1, 'udineseclubhouse': 1, 'emanuelescarello': 1, 'agliamici': 1, 'michelinstarsandfootball': 1, 'finediningandfootball': 1, 'gourmetexperience': 1, 'udineseinter': 1, 'champagnemoments': 1, 'unforgettableevening': 1, 'interfc': 1, 'eventphtographer': 1, 'exclusiveevents': 1, 'veniceweddings2025': 1, 'filmphotographymagic': 1, 'elopementinvenice': 1, 'timelesslove': 1, 'venetiandreams': 1, 'analogromance': 1, 'loveonfilm': 1, 'venicebride': 1, 'gintareolympics2024': 1, 'udinesevsinter': 1, 'bluenergystadium': 1, 'footballpassion': 1, 'eventhighlights': 1, 'matchdayvibes': 1, 'behindthescenes': 1, 'seriea': 1, 'unforgettablemoments': 1, 'iosonofriuliveneziagiulia': 1, 'weddingitaly': 1}"
sin_row,4228,773.46,7.78,18.4777,10.6433,2,0,0,2,0.5,{'iykyk': 1}
hanahmh,5105,95.02,8.65,2.0307,1.5524,24,2,15,7,7.83,"{'houstonrealestate': 12, 'realestate': 6, 'realtors': 6, 'realtorsofinstagram': 6, 'explore': 6, 'houstonapartment': 6, 'katyrealestate': 6, 'modelhome': 6, 'newhome': 6, 'houstonapartments': 6, 'houstonrealty': 6, 'houstonrealtors': 6, 'texas': 12, 'houstonapartmentlocator': 6, 'katytx': 6, 'katyrealtor': 6, 'katyrealtors': 6, 'richmondtx': 6, 'richmondrealestate': 6, 'cypresstx': 6, 'cypressrealtor': 6, 'apartmentshouston': 6, 'magnolia': 6, 'magnoliahome': 5, 'htxrealestate': 5, 'houstonrealtor': 5, 'realtorlife': 5, 'realestatelife': 5, 'htxrealtors': 5, 'tmedition': 1, 'katy': 1, 'team': 1, 'tmrealestate': 1, 'ourfamilyyourteam': 1, 'newconstruction': 1, 'builderpartner': 1, 'magnoliahomes': 1}"
barbaraserpente,4137,323.29,19.61,8.2887,0,0,0,0,0,-,-
southsidelens,4503,361.34,24.1,8.5598,12.9025,1,0,0,1,0,{}
,,,,,,,,,,,
tim.jonker,8371,226.32,18.57,2.9253,0,0,0,0,0,-,-
deedeeinreallife,4830,278.96,4.78,5.8745,0,0,0,0,0,-,-
jasmineyeap,5255,131.55,3.04,2.561,1.3118,16,0,4,12,2.31,"{'hkdisneyland': 1, 'seajets': 1, 'santorini': 2, 'atv': 1, 'akrotiri': 1, 'october': 2, 'hbd': 2, 'ohpolly': 2, '1015': 1, 'hellooctober': 1, 'seroja': 1, 'santorinisunset': 1, 'sunkissed': 1, 'mykonos': 4, 'greek': 1, 'europe': 2, 'greece': 2, 'travelphotography': 1, 'mykonosprincess': 1, 'greeceislands': 2, 'beautifuldestinations': 1, 'dubai': 1, 'uae': 1, 'metzingen': 1, 'germany': 1, 'expectationvsreality': 1, 'bikini': 1}"
,,,,,,,,,,,
hairbydittewozniak,5365,61.61,0.95,1.1661,1.3793,1,0,0,1,2,"{'mybestfriend': 1, 'travelwithkids': 1}"
rikesworld,3837,121.07,7.71,3.3564,4.8997,2,1,1,0,8,"{'wirsindnochlangenichtfertig': 1, 'pferd': 1, 'pferdeliebe': 1, 'duunddich': 1, 'equestrian': 1, 'equestrainlife': 1, 'horses': 2, 'schimmelpower': 1, 'andalusier': 1, 'spanischetraumpferdebeatehäckel': 1, 'reitezudeinerfreude': 1, 'lustig': 1, 'pferde': 1, 'spass': 1, 'leckerlies': 1}"
,,,,,,,,,,,
,,,,,,,,,,,
k.ranaeeee,4492,788.06,45.09,18.5473,0,0,0,0,0,-,-
sonofchicago,4867,257.2,22.17,5.7402,0.1027,1,1,0,0,0,{}
,,,,,,,,,,,
jackmoruz,7270,143.85,1.5,1.9993,10.8448,12,1,1,10,1.25,"{'gnafcac': 2, 'kickstarter': 1, 'gnafcacvol2': 1, 'ennennestudio': 1, 'fumetto': 1, 'fumettoindipendente': 1, 'comics': 1, 'art': 1, 'disegno': 1, 'disegnare': 1, 'supporta': 1, 'shonen': 1, 'avventura': 1, 'mascher': 1}"
mityapisliak,6084,248.63,14.61,4.3268,1.9987,5,0,1,4,0,{}
marciofariajr,8305,51.44,2.34,0.6476,0.5097,3,1,2,0,0,{}
papi_underwear,6430,38.81,1.98,0.6343,0,0,0,0,0,0,{}
ph_fr_ush_ar,5617,112.37,2.38,2.0429,0,0,0,0,0,0,{}
j_nicolet,2038,61.9,1.98,3.1343,8.9794,1,1,0,0,9,"{'ski': 1, 'skitouring': 1, 'freeride': 1, 'freerideski': 1, 'salomonfreeski': 1, 'valaiswallis': 1, 'freetouring': 1, 'freetouringski': 1, 'skiwithfriends': 1}"
cancerianagrande,2241,261,36.3,13.2664,10.8434,1,0,0,1,0,{}
itzcancelled,6235,219.95,14.27,3.7566,0,0,0,0,0,0,{}
bircanurgun,5491,191.71,14.83,3.7615,0,0,0,0,0,0,{}
cheyennefrias,5390,203.57,24.26,4.227,2.9824,4,3,0,1,0,{}
setkaingreenwonderland,8220,256.38,11.12,3.2544,1.9422,43,19,10,13,9.44,"{'huntingreel': 2, 'hunting': 14, 'wildlifeinpoland': 2, 'wildlifephotographer': 2, 'wildlifephotography': 2, 'wildlife_in_poland': 1, 'najlepiejwlesie': 1, 'nationalgeographic': 1, 'naturalsi_pl': 1, 'naturephotographer': 1, 'sarna': 4, 'koza': 2, 'lasypanstwowe': 1, 'las': 2, 'forest': 3, 'canon6d': 1, 'naturephotography': 1, 'dontstayathome': 1, 'gooutdoors': 1, 'huntress': 17, 'womenhunters': 12, 'womenhunttoo': 10, 'jägerin': 13, 'huntinggirl': 1, 'polowanie': 14, '?owiectwo': 7, 'sarnaeuropejska': 4, 'jakt': 12, 'jagd': 9, 'chasse': 7, 'caccia': 3, 'hunt': 8, 'darzbór': 14, 'polskizwi?zek?owiecki': 13, 'shootingday': 5, 'shootingpics': 1, 'parcour': 2, 'nightparcour': 2, 'clayshooting': 1, 'funtime': 1, 'goodtime': 3, 'weekendvibes': 1, 'kochcice': 4, 'strzelnica': 2, 'bday': 1, 'nocnyparcour': 1, 'shootingrange': 4, 'resortstrzelnica': 4, 'greatpeople': 1, 'shooting': 2, 'd?ugiweekend': 1, 'feelgood': 1, 'weekend': 1, 'goodvibes': 2, 'smile': 1, 'gpodmood': 1, 'my?listwo': 1, 'hubertus': 1, 'hunters': 4, 'birdhunting': 8, 'pheasanthunting': 7, 'huntingtime': 3, 'huntingfriends': 2, 'pheasants': 3, 'polowanienapióro': 5, 'ba?anty': 1, 'outventurepl': 3, 'berettastyle': 1, 'teamberetta': 7, 'beretta': 10, 'berettaclothing': 6, 'huntingclothes': 3, 'pheasanthunt': 2, 'peace': 1, 'calm': 1, 'myplace': 2, 'halloween': 1, 'halloween2025': 1, 'familytime': 1, 'deer': 2, 'deertrophy': 1, 'roedeer': 2, 'blaserr8': 2, 'zeisshunting': 1, 'pheasant': 3, 'ba?ant': 2, 'wildboarhunting': 1, 'boarhunting': 1, 'instahunt': 2, 'berettabrx': 1, 'berettaclothes': 1, 'autumn': 4, 'lechameau': 1, 'blackandwhitephotography': 1, 'b': 1, 'portrait': 1, 'mywork': 1, 'mypassion': 1, 'naturelover': 2, 'liveyourlife': 1, 'inthewoods': 2, 'intheforest': 1, 'teamwork': 1, 'slovenia': 2, 'doglover': 2, 'posokowiec': 2, 'huntingdog': 2, 'dog': 1, 'loveit': 1, 'outdoor': 1, 'slowenia': 1, 'wterenie': 1, 'natureisbeautiful': 2, 'takeabreath': 1, 'amazingview': 1, 'polishhunter': 2, 'rwshunting': 2, 'pulsarvision': 1, 'pulsar': 1, 'thermalimaging': 1, 'termowizja': 1, 'pewpew': 3, 'fallowdeer': 1, 'fallowdeers': 1, 'daniel': 1, 'damadama': 1, 'byk': 1, 'bekowisko': 1, 'nature': 1, 'lasypa?stwowe': 1, 'polskajestpiekna': 1, 'polskaprzyroda': 1, 'natura': 1, 'polskielasy': 1, 'sunday': 1, 'sundaymorning': 1, 'ko?o?owieckie': 1, 'my?liwi': 1, 'rws': 1, 'duckhunting': 2, 'duck': 1, 'huntingdogs': 1, '?yska': 1, 'timetohunt': 1, 'wspó?praca': 1, 'tophuntstv': 1, 'tophunts': 1, 'cooperation': 1, 'lodz': 1, 'dreamteam': 1, 'worktime': 1, 'pistolshooting': 1, 'deerhunting': 2, 'deerrut': 2, 'rykowisko': 1, 'jele?szlachetny': 1, 'wrzesie?': 1, 'wildboars': 1}"
