Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary),Unnamed: 0
72297,1685.67,15.02,2.3524,0.7639,4,0,1,3,0.0,{},75.0
167746,277.75,57.95,0.2001,0.097,60,26,25,9,5.917,"{'monsieurspoon': 57, 'frenchbakery': 54, 'frenchdining': 54, 'betterwithfrenchbutter': 53, 'tastegoodfeelgood': 53, 'monsieurspoonpr̩f̩r̩': 2, 'hampers': 1, 'christmashampers': 1, 'monsieurspoonjakarta': 49, 'adellejewellery': 1, 'adelleuniverse': 1, 'adelle11thanniversary': 1, 'bartegastudio': 3, 'bartegaxmonsieurspoon': 2, 'impastopainting': 2, 'paintingclassjakarta': 2, 'croissantflanart': 1, 'sundayfun': 1, 'dewata': 1, 'monsieurspoonpetitenget': 1, 'sundaymondayfoodie': 1, 'sundaymondayfoodievideo': 1, 'jktfoodbang': 1, 'kulineran': 1, 'foodblogger': 1, 'food': 1, 'foodie': 1, 'jktfood': 1, 'foodgasm': 1, 'kuliner': 1, 'fyp': 1, 'reelsinstagram': 1, 'reels': 1, 'tasty': 1, 'kalawaktuluang': 1}",76.0
57048,2870.47,52.3,5.1234,0.4876,6,1,3,2,1.333,"{'anakgromaximal': 1, 'reviewmorinaga': 1, '1000ceritabunda': 1, 'libbybaby': 1, 'libbybabyindonesia': 1, 'momentwithlibby': 1, 'everydaywithlibby': 1, 'ivirufflejumper': 1}",77.0
55376,2555.19,73.86,4.7476,0.8643,5,1,1,3,0.0,{},78.0
91222,136.49,2.37,0.1522,0.0,0,0,0,0,0.0,-,79.0
70753,845.43,11.3,1.2109,0.2037,3,2,0,1,0.0,{},80.0
62078,1337.26,18.09,2.1833,0.7794,21,14,7,0,12.714,"{'pedagangsehat': 1, 'suplementkakilima': 1, 'optimumnutrition': 12, 'optimumperformance': 1, 'optimumstrength': 1, 'suplemenoptimum': 1, 'optimumfitness': 1, 'optimumlife': 1, 'optimumhealth': 1, 'optimumgains': 1, 'nutritionforchampions': 1, 'optimumsupport': 1, 'sixpackgoals': 1, 'hardworkpaysoff': 1, 'stayfit': 4, 'fitnessmotivation': 3, 'nopainnogain': 3, 'bodygoals': 2, 'bcaa': 1, 'rasaanggur': 1, 'fitnessgoals': 3, 'recoverytime': 1, 'staystrong': 4, 'workoutfuel': 1, 'wheygoldstandard': 2, 'bananaflavor': 2, 'wheyprotein': 6, 'proteinshake': 4, 'recoveryfuel': 2, 'fitnessjourney': 11, 'strongereveryday': 5, 'workoutnutrition': 2, 'healthyliving': 2, 'gymlife': 7, 'selfcare': 1, 'noexcuses': 3, 'beachvibes': 1, 'effortpaysoff': 1, 'oceanenergy': 1, 'karangamoments': 1, 'healthylifestyle': 5, 'progresbersama': 1, 'goldstandardwhey': 5, 'optimumnutritionidn': 5, 'optimumnutritionindonesia': 5, 'freeworkout': 2, 'nolimits': 2, 'beach': 1, 'bali': 1, 'photo': 1, 'model': 4, 'modelling': 1, 'photoeveryday': 1, 'photographers': 1, 'workoutmotivation': 8, 'musclebuilding': 2, 'strengthtraining': 2, 'bodytransformation': 1, 'fitnessaddict': 4, 'trainhard': 2, 'beastmode': 1, 'liftinggoals': 1, 'sweatandsuccess': 1, 'ironparadise': 1, 'workhardstayhumble': 1, 'gymselfie': 1, 'musclegoals': 1, 'fitnesslifestyle': 2, 'bodybuilding': 1, 'fitlife': 2, 'gymtime': 2, 'sweatitout': 2, 'bestrong': 1, 'fitgoals': 3, 'healthiswealth': 2, 'strongnotskinny': 1, 'liftheavy': 3, 'fitandhealthy': 1, 'staymotivated': 1, 'fitnessinspiration': 1, 'transformationjourney': 1, 'workout': 3, 'trainingday': 1, 'health': 1, 'getstrong': 1, 'fitfam': 1, 'workoutroutine': 2, 'inspiretobefit': 1, 'capekkeringterus': 1, 'strength': 1, 'dailyworkout': 1, 'bebetter': 1, 'trainsmart': 1, 'gymmode': 1, 'stayactive': 1, 'power': 1, 'gym': 3, 'gymmotivation': 2, 'ig': 1, 'sixpack': 3, 'chest': 1, 'abs': 2, 'shoot': 1, 'stayhealthy': 1, 'workoutlife': 1, 'musclegain': 1, 'proteingoals': 1, 'gymaddict': 2, 'buildmuscle': 1, 'nutritionmatters': 1, 'workoutsupplement': 1, 'wheybanana': 1, 'fitnessfuel': 1, 'recoveryessentials': 1, 'strongeveryday': 1, 'workoutrecovery': 1, 'dukungpemulihan': 2, 'nutrisiseimbang': 2, 'fokuspadaprogres': 2, 'suplemenonline': 2, 'bodyandmind': 1, 'cinematicfitness': 1, 'naturalstrength': 1, 'selfdiscipline': 1, 'suplemenon': 1, 'powerup': 1, 'ilustracion': 1, 'picart': 1, 'pinterest': 1, 'pushyourlimits': 1, 'beyourbest': 1, 'reels': 1, 'explorer': 1, 'explorerinstagram': 1, 'exercises': 1, 'motivasipagi': 1, 'semangatbaru': 1, 'hidupsehat': 1, 'positivevibes': 1, 'inspirationtoday': 1, 'yesfitnessbali': 1, 'gymhumor': 1, 'gymcomedy': 1, 'gymlifestyle': 1, 'fitness': 1, 'fitnesslife': 1, 'coach': 1, 'personaltrainer': 1, 'personaltraining': 1, 'gymcoach': 1, 'balipersonaltrainer': 1}",81.0
133840,628.34,14.37,0.4802,0.2948,8,1,4,3,0.25,"{'conradhangzhou': 1, 'conradpartner': 1}",82.0
117539,3601.42,40.02,3.0981,0.0,0,0,0,0,0.0,-,83.0
20792,14.59,0.54,0.0728,0.0,0,0,0,0,0.0,-,84.0
22516,269.44,2.99,1.21,0.0,0,0,0,0,0.0,-,85.0
26886,636.56,40.56,2.5185,3.4345,5,0,2,3,20.6,"{'bridalphotos': 1, 'weddingday': 2, 'firstlook': 2, 'firstlookwedding': 2, 'rusticwedding': 5, 'joshuatreewedding': 5, 'weddingphotography': 5, 'weddinginspiration': 5, 'weddingideas': 3, 'weddingflowers': 2, 'weddinghair': 1, 'bridalhair': 3, 'bridalhairstyle': 1, 'bridaljewellery': 1, 'bridalmakeup': 1, 'bridaldress': 1, 'bridalfashion': 1, 'ruedeseine': 1, 'ruedeseinebridal': 1, 'rusticweddingdress': 1, 'bohobride': 5, 'bohowedding': 3, 'bohoweddingdress': 1, 'bohoweddinghair': 1, 'justmarried': 3, 'wedding': 4, 'weddingcake': 1, 'weddingcakes': 1, 'bride': 2, 'joshuatreenationalpark': 4, 'mechanicalbull': 1, 'weddingbull': 1, 'rusticweddingideas': 2, 'weddinggoals': 1, 'joshuatree': 4, 'rusticweddings': 1, 'weddingdress': 1, 'elopmentwedding': 1, 'elopmentphotographer': 1, 'bridalbouquet': 1, 'couplegoals': 1, 'bridal': 1, 'desertwedding': 2, 'ruesaintdenis': 2, 'bridestyle': 2, 'brideandgroom': 2, 'bridalgown': 2, 'naturewedding': 2, 'rusticweddingdecor': 2, 'dreamwedding': 2, 'weddingstyle': 2}",86.0
22467,9.04,0.01,0.0403,0.0,0,0,0,0,0.0,-,87.0
43087,3200.72,32.47,7.5039,8.3035,14,0,10,4,0.143,"{'bersatudalamperbedaan': 1, 'areioutdoorgear': 1}",88.0
17951,281.46,20.43,1.6817,1.3158,39,3,26,10,2.872,"{'starfieldlibrary': 1, 'starfield': 1, 'seoul': 1, 'seoulkorea': 1, 'korea': 1, 'korean': 1, 'koreastyle': 1, 'koreatravel': 1, 'koreatrip': 1, 'drone': 7, 'drones': 1, 'dronephotography': 6, 'dronestagram': 2, 'dronevideo': 6, 'droneview': 1, 'dronepilot': 2, 'dronelife': 2, 'droneoftheday': 1, 'dronefly': 1, 'droneshots': 1, 'djimini4pro': 3, 'dronekorea': 2, 'dronepadang': 5, 'dronebukittinggi': 4, 'dronebali': 1, 'dronejakarta': 1, 'dji': 4, 'dronesumbar': 2, 'djimini': 1, 'dronepanorama': 1, 'love': 5, 'me': 5, 'padang': 1, 'civic': 1, 'civicturbo': 1, 'djipadang': 1, 'djiosmopocket': 1, 'djiosmopocket3': 2, 'djipocket3': 2, 'djiosmo': 1, 'disney': 1, 'disneyland': 1, 'japan': 6, 'japantrip': 3, 'fun': 3, 'japanese': 1, 'japantravel': 2, 'indonesia': 1, 'holiday': 2, 'shibuya': 1, 'tokyo': 1, 'travel': 2, 'travelling': 1, 'trip': 1, 'traveller': 1, 'shirakawa': 1, 'shirakawago': 1}",89.0
13556,374.7,25.7,2.9537,0.0,0,0,0,0,0.0,-,90.0
20769,198.51,10.49,1.0063,0.5824,57,1,55,1,8.386,"{'bandungexplore': 47, 'jelajahbandung': 42, 'bandunghits': 45, 'bandung': 50, 'wisatabandung': 40, 'pesonabandung': 42, 'puncakpangradinan': 1, 'alunalunbandung': 1, 'ciwidey': 10, 'lakalantas': 1, 'tolcipularang': 1, 'infobandung': 5, 'infocipularang': 1, 'sanghyangkenit': 1, 'bandungbanget': 36, 'infobandungselatan': 1, 'banjaran': 1, 'banjir': 1, 'explorebandung': 5, 'kebakaran': 1, 'pabriktekstil': 1, 'baleendah': 1, 'curugbubrug': 1, 'kulinerbandung': 2, 'bandungjuara': 3, 'infobdg': 2, 'indonesia': 2, 'explorejakarta': 2, 'explorejogja': 2, 'visitbandung': 3, 'exploreindonesia': 2, 'bandungkuliner': 2, 'bandungfoodies': 2, 'lembang': 4, 'kulinerbdg': 2, 'cafebandung': 2, 'infobandungraya': 2, 'lokerbandung': 2, 'bandungculinary': 2, 'jakarta': 2, 'bandungtrip': 2, 'explore': 2, 'exploremalang': 2, 'like': 2, 'sewamotorbandung': 2, 'jawabarat': 5, 'rancabali': 1, 'bandungpisan': 2, 'explorelembang': 1, 'bobocabin': 1, 'jabarkekinian': 1, 'kitawarawiri': 1, 'slowliving': 1, 'staycation': 1, 'horison': 1, 'horisonhotels': 1, 'greenforest': 1, 'greenforestbandung': 1, 'jawabaratbeautiful': 2, 'nature': 1, 'infobandungbarat': 1, 'jawabaratbanget': 2, 'jabardaily': 1, 'ayodolan': 2, 'bandungutara': 1, 'kawasanbandungutara': 1, 'perizinan': 1, 'kbu': 1, 'bandungjabar': 1, 'pengalengan': 1, 'sunanibusunrisepoint': 1, 'bogorpisan': 1, 'visitbogor': 1, 'lingkarindonesia': 1, 'enakdisini': 1, 'folkindonesia': 2, 'indozonetravel': 1, 'curugcipanas': 1, 'leuwibaliung': 1, 'kompasnusantara': 1, 'indoflashlight': 1, 'igersociety': 1, 'likeforfollow': 1, 'jabarpisan': 1, 'hellonusantara': 1, 'thisisindonesia': 1, 'enjoybogor': 1, 'a_may': 1, 'keluarbentar': 1, 'wonderfulindonesia': 1, 'awesomeearth': 1, 'theamaystory': 1, 'tebingkeraton': 1, 'jabar': 1, 'gunungsumbul': 1, 'jelajahciwidey': 1, 'ciwideyhits': 1, 'ciwideybandung': 1, 'pesonakabupatenbandung': 1, 'wisatakabupatenbandung': 1, 'pangalengan': 3, 'bandungbarat': 2, 'masjidrayaaljabbar': 1, 'situpatenggang': 2, 'gunungpuntang': 3, 'puncakmalabar': 1, 'thegreatasiaafricalembang': 1, 'puncakmega': 1, 'puncakmega2223mdpl': 1, 'infobandungtimur': 1, 'pasargedebage': 1, 'jabargram': 3, 'lembangwisata': 1, 'orchidforestcikole': 1, 'cikole': 1, 'ciwideyexplore': 1, 'camping': 1, 'jawabaratpunya': 1, 'senjadibandung': 1, 'tamanbunga': 1, 'cihamerang': 1, 'sunrise': 1, 'sunrisebandung': 1}",91.0
53513,173.32,25.78,0.3721,0.4071,7,1,3,3,0.0,{},92.0
11601,1321.47,10.34,11.4801,0.0,0,0,0,0,0.0,-,93.0
13657,937.05,18.73,6.9984,0.0,0,0,0,0,0.0,-,94.0
16524,547.15,29.53,3.4899,0.8485,15,0,11,4,0.533,"{'musclegrowth': 1, 'glutes': 1, 'weightlossjourney': 1, 'weightlifting': 1, 'gymlife': 1, 'gym': 1, 'legday': 1, 'gluteworkout': 1}",95.0
9941,448.89,7.93,4.5953,0.0,0,0,0,0,0.0,-,96.0
97912,2040.73,9.68,2.0941,0.8379,5,0,4,1,6.4,"{'weddingmadiun': 1, 'engagementmadiun': 1, 'weddingponorogo': 1, 'cinematicponorogo': 1, 'engagementvideo': 1, 'videolamaran': 1, 'weddingmagetan': 1, 'dekorasiponorogo': 1, 'muamadiun': 1, 'dekorasimagetan': 1, 'cinematicmadiun': 1, 'weddingclip': 1, 'weddingteaser': 2, 'teasermadiun': 1, 'weddingvidgram': 1, 'wisudamadiun': 1, 'wisudaponorogo': 1, 'lamaranponorogo': 1, 'lamaranmadiun': 1, 'weddingngawi': 1, 'eyelashponorogo': 1, 'nailartponorogo': 1, 'sulamalis': 1, 'sulambibir': 1, 'sulameyeliner': 1, 'sulamalisponorogo': 1, 'lashlift': 1, 'koreanlashlift': 1, 'lipblushponorogo': 1, 'sulamponorogo': 1, 'sulammurahponorogo': 1}",97.0
9867,40.38,2.62,0.4358,0.5741,20,2,13,5,10.05,"{'kidstallent': 12, 'artiscilik': 6, 'kidsfashion': 6, 'kidsmodel': 6, 'kidsagencymodel': 6, 'kidstyle': 6, 'modelanakjakarta': 6, 'photoshoot': 6, 'ootd': 6, 'iklan': 6, 'tvc': 6, 'shooting': 6, 'videoviral': 6, 'reelviral': 4, 'videolucu': 8, 'bestie': 6, 'kocak': 4, 'dagelan': 4, 'reels': 7, 'reelsinstagram': 7, 'comingsoon': 1, 'filmlayarlebar': 2, 'mothernet': 2, 'baseid': 1, 'ringgoagus': 1, 'koreanstyle': 1, 'hiphop': 1, 'dance': 1, 'fashionshow': 1, 'tukangngambek': 1, 'rayuangombal': 1, 'gombalvideo': 1, 'lucubanget': 1, 'videokocak': 1, 'brunomars': 1, 'rayu': 1, 'tallent': 1, 'content': 1, 'contentviral': 1, 'gemes': 1, 'paranting': 1, 'ceritadenganayah': 1, 'weekendbarengayah': 1, 'temancerita': 1, 'temancurhat': 1, 'kisahnyata': 2, 'indosiar': 2, 'mkf': 2, 'kisahnyataspesial': 1, 'officelife': 1, 'duniakantor': 2, 'duniakerja': 2, 'duniatiputipu': 2, 'worklife': 2, 'dramakantor': 2, 'dramaperkantoran': 2, 'work': 2, 'komedikantoran': 2, 'parodikantor': 2, 'fyp': 1, 'reelsviral': 1, 'kisahnyataindosiar': 1, 'megakreasiflms': 1, 'megakreasiproduction': 1, 'athafrafisqy': 1, 'sweetmoment': 1, 'momentlucu': 1, 'reelsvideo': 1, 'kompakselalu': 1, 'brother': 1, 'nikmatiproses': 1, 'quoteoftheday': 1, 'selfreminder': 1, 'semuabutuhproses': 1, 'adekkakak': 1, 'sosweetmoments': 1, 'momentsyahdu': 1, 'masakecil': 1, 'obrolankakakadik': 1, 'parenting': 1, 'sayangadek': 1, 'likefatherlikeson': 1, 'kembar': 1}",98.0
16024,283.58,5.67,1.8051,5.2043,15,3,6,6,12.333,"{'promo': 10, '1212': 1, 'harbolnas': 2, 'seafood': 12, 'kepitingsumo': 7, 'sumoseafood': 1, 'jakarta': 10, 'bandung': 11, 'food': 9, 'id': 4, 'kuliner': 11, 'hargadiskon': 1, 'giladiskon': 6, 'december': 1, 'endyear': 1, 'oyster': 8, 'kepiting': 4, 'scallop': 1, 'jajan': 2, 'paket': 1, 'giveaway': 4, 'free': 2, 'gratis': 1, 'abalone': 2, 'octopus': 4, 'sannakji': 3, 'salad': 2, 'gurita': 1, 'vote': 1, 'pilkada': 2, '2024': 1, 'foodie': 2, 'pesonaindonesia': 1, 'kulinerjakarta': 2, 'kulinerbandung': 1, 'kulinerbdg': 2, 'traveling': 1, 'travelingindonesia': 1, 'makanankekinian': 1, 'makananhalal': 1, 'makananenak': 1, 'makananhits': 1, 'wisatakuliner': 1, 'wisata': 1, 'bali': 1, 'bandungbanget': 1, 'rajaampat': 1, 'labuanbajo': 1, 'jakartafoodies': 1, 'enjoyjakarta': 1, 'sashimi': 1, 'live': 1, 'korean': 1, 'ga': 3, 'sumo': 2, '11': 1, 'seafoodjakarta': 1, 'japanesegrill': 1, 'kulinerpik': 1, 'bulubabi': 1, 'wagyu': 1, 'pik': 1, 'pantaiindahkapuk': 1, 'payday': 1, 'sale': 1, 'jkt': 1, 'bdg': 1, 'seafiid': 1, 'travel': 2, 'sea': 1, 'diskon': 2, 'jktinfo': 2, 'infobdg': 2, 'jktfoodbang': 2, 'ganjanggenjang': 1, '50': 1, 'foodnotebdg': 1, 'culinary': 1, 'jalan': 1}",99.0
71937,2569.31,14.56,3.5919,4.0438,1,0,0,1,31.0,"{'pakefanterra': 1, 'fanterra': 1, 'fanterraracingexhaust': 1, 'knalpotfanterra': 1, 'knalpotbanter': 1, 'knalpotracing': 1, 'knalpotninja': 1, 'knalpotninjarr': 1, 'knalpotninja2tak': 1, 'knalpotninjar': 1, 'knalpotninja150': 1, 'ninjaframestd': 1, 'ninjastd': 1, 'ninjass': 2, 'ninjarr': 1, 'ninjar': 1, 'ninjasunmori': 1, 'ninjarr150': 1, 'ninjarrmodifikasi': 1, 'ninjarrold': 1, 'ninjarrnew': 1, 'ninjarroldlovers': 1, 'ninjarrjarijari': 1, 'ninjarrindonesia': 1, 'ninjassr_indonesia': 1, 'ninjassrthailand': 1, 'ninjass150': 1, 'ninjassrlampung': 1, 'jualknalpotracing': 1, 'jualknalpotninja': 1}",100.0
86507,4112.52,21.93,4.779,5.229,21,1,4,16,0.0,{},101.0
165908,1496.54,1.96,0.9032,1.0862,58,0,13,45,16.897,"{'rollsroycespectre': 1, 'rollsroyce': 1, 'spectre': 1, 'electriccar': 1, 'electriccoupe': 1, 'rollsroycecoupe': 1, 'jakarta': 56, 'showroom': 56, 'instacar': 56, 'cars': 55, 'supercars': 55, 'carsofinstagram': 55, 'luxury': 55, 'luxurycarjakarta': 55, 'lifestyle': 57, 'ivansmotor': 58, 'drivenbypassion': 58, 'fordmustanggt': 1, 'fordmustang': 3, 'v8': 2, 'mustanggt': 1, 'fordv8': 1, 'musclecar': 1, 'nissangtrnismo': 2, 'nissangtrr35nismo': 2, 'nissangtrr35': 2, 'gtrnismo': 2, 'nissangtr': 2, 'nissanr35': 2, 'nismo': 2, 'lamborghiniaventadorlbwk': 1, 'lamborghinianniversario': 1, 'libertywalk': 1, 'lbwk': 1, '50': 1, 'anniversario': 1, 'limitededition': 2, 'roadster': 1, 'openair': 1, 'v12': 3, 'lamborghini': 4, 'aventador': 2, 'toyotalandcruiserglx70': 1, 'glx70': 1, 'landcruiserglx70': 1, 'toyotaglx70': 1, 'toyota': 3, 'classicadventure': 1, 'lexuslx600': 2, 'lexus': 2, 'lx600': 2, 'toyotayarisgrmn': 1, 'toyotayarisgrmncircuitpackage': 1, 'yarisgrmn': 1, 'yaris': 1, 'grmn': 1, 'porsche911targa4s': 2, 'porsche911targa': 2, 'porsche911': 9, 'porsche': 14, '911targa4s': 2, '911': 11, 'targa4s': 2, 'porschetarga': 2, 'ferrarigtc4lussot': 1, 'ferrari': 2, 'gtc4lusso': 1, 'prancinghorse': 1, 'landcruiserpradovx': 1, 'toyotalandcruiserpradovx': 1, 'landcruiserprado': 2, 'landcruiser': 2, 'landcruiservx': 1, 'pradovx': 1, 'prado': 1, 'astonmartinvantage': 1, 'astonmartin': 2, 'aston': 1, 'vantage': 1, 'rangeroverautobiographylwb': 1, 'rangerover': 2, 'autobiography': 2, 'porsche911turbos': 4, '911turbos': 2, 'turbos': 2, 'porscheturbo': 2, 'mercedesbenzbrabus800': 1, 'mercedesbenzbrabus': 2, 'mercedesbenz': 6, 'brabus800': 1, 'brabus': 2, 'bentleyflyingspurhybridkahnedition': 2, 'bentleyflyingspurhybrid': 2, 'bentleyflyingspur': 3, 'bentley': 3, 'flyingspur': 3, 'flyingspurhybrid': 2, 'flyingspurhybridkahn': 2, 'kahnedition': 2, 'astonmartindbs770ultimatecoupe': 2, 'astonmartindbs770': 2, 'dbs': 2, 'dbs770': 2, 'vespa946christiandior': 1, 'vespa946': 1, 'vespa': 1, '946christiandior': 1, 'vespa946dior': 1, '946dior': 1, 'vespadior': 1, '946': 1, 'christiandior': 1, 'dior': 1, 'motorcycle': 2, 'scooter': 1, 'mercedesbenzmaybachs580': 1, 'mercedesbenzmaybach': 3, 'maybachs580': 1, 'mercedesbenzs580': 1, 'maybach': 3, 'bentleycontinentalflyingspur': 1, 'bentleycontinental': 1, 'continentalflyingspur': 1, 'continental': 1, 'hondacbr1000rr': 1, 'hondacbr': 1, 'honda': 1, 'cbr': 1, 'cbr1000': 1, 'cbr1000rr': 1, 'mogejakarta': 1, 'porsche911gt3': 5, 'gt3': 5, '911gt3': 2, 'lamborghinirevuelto': 2, 'revuelto': 2, 'rangeroverautobiography': 1, 'porsche911gt3rsweissach': 2, 'porsche911gt3rs': 2, '911gt3rsweissach': 1, '911gt3rs': 2, 'weissach': 1, 'gt3rs': 2, 'mercedesbenzbrabuss50': 1, 'brabuss50': 1, 's50': 1, 'porschecaymangt4': 2, 'porschecayman': 2, 'caymangt4': 2, 'cayman': 2, 'gt4': 2, 'mercedesbenzmaybachgls680': 1, 'maybachgls680': 1, 'gls680': 1, 'mclaren': 2, 'mclarengt': 2, 'grandtouring': 2, 'supercar': 2, 'supercarjakarta': 2, 'luxurycar': 3, 'jakartaluxurycar': 2, 'porsche993carreras': 2, 'porsche993': 2, 'porschecarreras': 2, '993': 2, 'carreras': 2, 'ferrari296gtb': 1, '296gtb': 1, 'gtb': 1, 'ferrarijakarta': 1, 'mercedesbenzmaybachgls600': 1, 'maybachgls600': 1, 'gls600': 1, '911turbo': 1, 'porscheturbos': 1, 'toyotagrandacepremium': 1, 'toyotagrandace': 1, 'toyotagrandacepremium8seater': 1, 'grandacepremium': 1, 'grandace': 1, 'mercedesbenzamgcla45s': 1, 'mercedesbenzamg': 1, 'amg': 1, 'cla45s': 1, 'astonmartindbx707': 1, 'dbx': 1, 'dbx707': 1, 'astonmartinsuv': 1, 'luxurysuv': 1, 'performancesuv': 1, 'cabriolet': 2, 'turbo': 2, 'hummerh3ev': 2, 'hummer': 2, 'hummerev': 2, 'hummerh3': 2, 'h3': 2, 'h3ev': 2, 'lamborghiniaventadorlp700': 2, 'lamborghiniaventador': 1, 'lp700': 1, 'porsche911st': 1, 'porschejakarta': 1, 'fordmustangecoboostfastback': 1, 'fordmustangecoboost': 2, 'fordmustangfastback': 2, 'mustang': 2, 'ford': 2, 'bmwx3mcompetition': 1, 'bmwx3m': 1, 'bmw': 1, 'x3mcompetition': 1, 'bmwcompetition': 1, 'bmwm1000rr': 1, 'bmw1000rr': 1, '1000rr': 1, 'bmwmseries': 1, 'mseries': 1, 'm1000rr': 1, 'allnewmustang': 1, 'mustangecoboost': 1, 'fordbroncowildtrak': 1, 'fordbronco': 1, 'bronco': 1, 'wildtrak': 1, 'toyotalandcruiserpradovxr': 1, 'vxr': 1, 'landcruiservxr': 1, 'pradovxr': 1, 'carlifestyle': 1, 'exoticcar': 1, 'sportcar': 1}",0.0
157687,456.82,7.26,0.2943,0.1668,25,13,4,8,3.92,"{'mufgjaw': 21, 'mufgjaw2024': 21, 'gjaw': 18, 'anothergiiasseries': 19, 'mandiriutamafinance': 3, 'wujudkansemuamimpi': 3, 'jakartaautoweek': 3, 'muf_gjaw2024': 1, 'gjaw2024': 1, 'haripahlawan': 1, 'haripahlawannasional': 1, 'sevenevent': 3, 'sumpahpemuda': 1, 'pancasila': 1, 'kesaktianpancasila': 1}",1.0
369888,2154.35,27.84,0.59,0.3956,112,37,40,35,3.402,"{'mandiriutamafinance': 5, 'wujudkansemuamimpi': 5, 'gjaw': 5, 'gjaw2024': 5, 'jakartaautoweek': 5, 'mufgjaw2024': 3, 'otodriver': 66, 'jetour': 3, 'hyundain': 1, 'neverjustdrive': 1, 'highperformanceev': 1, 'ioniq5n': 1, 'hyundainmandalika': 1, 'waktunyahyundai': 2, 'carspotting': 1, 'taipei': 1, 'taiwan': 1, 'roadtrip': 2, 'welovetodrive': 2, 'mitsubishi': 4, 'triton': 2, 'camping': 2, 'jetourt2': 1, 'kia': 1, 'kiaindonesia': 1, 'mercedesbenz': 1, 's': 1, 's450presidentedition': 1, 'mazdamx30': 2, 'hyundaitucson': 1, 'lapormaswapres': 1, 'mazda': 3, 'allnewsantafe': 2, 'hondacrv': 1, 't2': 2, 'fuzhou': 2, 'china': 2, 'offroadvehicle': 1, 'offroad': 1, 'luthfiaziz11': 7, 'bmwm2': 2, 'bydseal': 1, 'aionhyptecht': 1, 'phev': 1, 'driveforfood': 4, 'shell': 1, 'jakarta': 2, 'jogja': 2, 'maxus': 1, 'mifa7': 1, 'mifa9': 1, 'uabs': 1, 'evbattery': 1, 'suzukievx': 1, 'suzukievitara': 1, 'miniaceman': 1, 'mitsubishitrainingcenter': 1, 'mitsubishidstconcept': 1, 'baicbj80': 1, 'mobillistrik': 1, 'gaikindo': 2, 'otorider': 14, 'hargabbm': 2, 'cheryj6': 1, 'bmwm4cs': 1, 'mercedesbenzs680guard': 1, 'prabowo': 2, 'baic': 1, 'bj40plus': 1, 'aditwidiutomo': 1, 'dieng': 1, 'diengplateau': 1, 'jawatengah': 1, 'desasembungan': 1, 'desatertinggidijawa': 1, 'imos2024': 11, 'pameranmotor': 11, 'aisi': 11, 'fifgroupsatusolusipembiayaan': 11, 'leapmotor': 2, 'giiassemarang': 5, 'hyundai': 3, 'santafe': 2, 'ferrari': 1, 'innovationmeetsinspiration': 1, 'giias2024': 2, 'driveinjuly': 1, 'pameranotomotif': 1, 'pameranmobil': 1, 'ikn': 2, 'byd': 3, 'giiassemarang2024': 4, 'mobilbarubanyak': 1, 'giiastheseries': 5, 'citroen': 2, 'basalt': 1, 'citroenindonesia': 1, 'm6': 1, 'kapalapi': 1, 'signaturestrong': 1, 'banyakmobilbaru': 4, 'maungpindad': 1, 'mv3garudalimousine': 1, 'sahabatgiias': 1, 'bustruckid': 1, 'prabowosubianto': 1, 'gibranrakabumingraka': 1, 'ferrarif80': 1, 'hyptecht': 1, 'gacaion': 1, 'ibukotanusantara': 1, 'dealermazda': 1, 'mazdafatmawati': 1, 'toyotarangga': 1, 'toyotahiluxrangga': 2, 'parismotorshow': 1, 'daihatsukumpulsahabat': 7, 'daihatsukumpulsahabatsidoarjo': 5, 'daihatsu': 4, 'daihatsugranmax': 1, 'xetiawithxenia': 1, 'kumpulsahabatdaihatsusidoarjo': 1, 'kumpulsahabatdaihatsu': 1, 'toyota': 1, 'daihatsusahabatku': 2, 'chery': 2, 'tiggo8': 1, 'surabaya': 1, 'mercedesbenzglc300': 1, 'imx': 1, 'imx2024': 1, 'marissahaque': 1, 'suzukiesteem': 1, 'hyundaikonaelectric': 1, 'konaelectricmediatestdrive': 1, 'uismv': 1, 'kmhe2024': 1, 'energyforthefuture': 1, 'gogreengofar': 1, 'wulingmotors': 1, 'driveforabetterlife': 1, 'wulingevabc': 1, 'cloudev': 1, 'drivingthefutureofcomfort': 1, 'rollsroycespectre': 1, 'luxurycars': 1, 'bmwxm': 1, 'motogp': 1, 'motogpmandalika': 1, 'netax': 1, 'mitsubishixpandercross': 1, 'mitsubishitriton4x4': 1, 'pengalengan': 1, 'pengalenganbandung': 1, 'giiasbandung2024': 2, 'cheryomoda5': 1, 'omoda5': 1, 'cheryindonesia': 1, 'ncap': 1, 'omoda': 1, 'cheryfamily': 1, 'aseanncap': 1, 'campingtrip': 1, 'allnewtriton': 1, 'shellvpowerdiesel': 1, 'dragrace': 1, 'bydsealperformance': 1, 'giiasbandung': 1, 'otomotifseru': 1}",2.0
