,Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary)
31,2953,178.88,5.18,6.233,5.4408,6,0,2,4,4.333,"{'mcaribagus': 6, 'mcresepsipernikahan': 4, 'mcakadresepsi': 2, 'mckotabatu': 5, 'mcmalangraya': 4, 'mcwedding': 1, 'mcengagement': 1, 'mcbatumalang': 1, 'mcmalang': 1, 'mcpernikahan': 1}"
32,4619,7.98,0.86,0.1914,0.184,20,15,1,4,5.8,"{'gmpropertyindonesia': 7, 'teamwork': 5, 'closingtime': 7, 'komisi': 5, 'target': 5, 'reward': 5, 'easyselling': 5, 'transaksi': 5, 'notaris': 5, 'jualbelirumahbandung': 7, 'jualbelisewaproperty': 5, 'listingterbaik': 5, 'ownerbuyer': 5, 'topagent': 5, 'brokerprofesional': 5, 'brokerproperti': 5, 'fun': 2, 'trust': 2, 'success': 2, 'gmproperty': 2, 'topmarketing': 2, 'bestteam': 2, 'workhard': 2, 'worksmart': 2, 'thinksmart': 2, 'bestofthebest': 2, 'konsisten': 2, 'jalaniproses': 2, 'spesialisarea': 2, 'profesionalagent': 2, 'agentpropertybandung': 2}"
33,6219,12.26,0.06,0.198,0.0607,40,11,0,29,2.575,"{'tukangtalangpontianak': 1, 'talangairpontianak': 1, 'tukangbangunanpontianak': 6, 'tukangbangunanmedan': 5, 'tukangplafonmedan': 1, 'tukanggypsummedan': 2, 'tukangplavonmedan': 1, 'tukangbangunanyogya': 1, 'tukanggypsumyogyakarta': 1, 'tukangelektronikmedan': 2, 'tukangservicemesimcucimedan': 1, 'teknisimesincucimedan': 1, 'teknisimesuncucipontianak': 1, 'tukangservicemesincucipontianak': 1, 'tukangelektronikpontianak': 1, 'tukangmesincucipontianak': 1, 'tukangmesincuciyogyakarta': 1, 'tukanglasmedan': 1, 'tukangteralismedan': 1, 'tukangpintubesi': 1, 'pintuteralisbesi': 1, 'tukangbangunanmurahindonesia': 1, 'cucitorenair': 1, 'kurasdancucibakairbawahtanah': 1, 'tukangcucitoren': 1, 'tukangkurasbakair': 1, 'penampunganair': 1, 'tukangbangunanjogja': 4, 'bakpenampunganair': 1, 'torenair': 1, 'tukangkloset': 1, 'perbaikanklosetkamarmandi': 1, 'tukangperbaikantoilet': 2, 'tukangsedotwcpontianak': 3, 'tukangbangunanlampung': 1, 'tukangreklame': 1, 'papaniklan': 1, 'tukangbangunan': 4, 'panelacp': 1, 'interiorbangunan': 1, 'eksteriorgedung': 1, 'tukangbangunanbanjarmasin': 2, 'tukangbangunanbogor': 1, 'tukangbangunansamarinda': 1, 'tukangkusenalumuniumpontianak': 1, 'sekatkacaalumunium': 1, 'tukangkusenalumunium': 2, 'aluminuiumdankaca': 1, 'kusenalumunium': 1, 'tukangbersihbersihyogyakarta': 1, 'tukangtamanyogyakarta': 1, 'tukangtebasrumputyogyakarta': 1, 'tukangvinylmedan': 1, 'tukangkeramik': 1, 'tukangrumahbanjarmasin': 1, 'tukangbangunanbanjarbaru': 1, 'tukangwcpontianak': 1, 'tukangpipapontianak': 2, 'septitanksni': 1, 'tukangacpontianak': 1, 'tukangacgaransipontianak': 1, 'tukangpontianak': 2, 'tukangyogyakarta': 2, 'tukangjabodetabek': 1, 'tukangsamarinda': 1, 'tukangbogor': 1, 'tukangmedan': 1, 'tukanglampung': 1, 'tukanglistrikjogja': 1, 'tukanglistrikpontianak': 3, 'tukanglistrikbergaransi': 1, 'tukanglistrikmedan': 1, 'kitchensetlampung': 1, 'kitchensetpontianak': 1, 'kitchensetyogyakarta': 1, 'tukanglistrikmurah': 1}"
34,1891,487.37,26.77,27.1885,44.6589,2,0,2,0,2.5,"dom': 1, 'wnÄtrza': 1, 'kaszuby': 1, 'urzÄdzaniedomu': 1, 'nowydom': 1}"
35,5529,18.09,0.43,0.3351,0.2904,17,0,0,17,24.471,"{'xiaomi': 1, 'xiaomipoco': 1, 'xiaomipocof5': 1, 'pocof5': 1, 'pocof4pro': 2, 'pocof2pro128gb': 1, 'xiaomipocof2pro': 1, 'snapdragon870': 1, 'pocof4': 1, 'xiaomifan': 1, 'fanxiaomi': 1, 'xiaomibase': 1, 'jualxiaomi': 1, 'jualmi9': 1, 'hpseken': 2, 'hpsecond': 2, 'hpmurah': 2, 'hp2nd': 1, 'hpbandung': 1, 'hpbekas': 2, 'handphonesecond': 2, 'xiaomiindonesia': 1, 'handphoneseken': 2, 'handphone2nd': 1, 'jualbelihp': 5, 'jualbeli': 10, 'barbasestore': 18, 'hpgamingsecond': 1, 'hpmurmer': 1, 'snapdragon7gen2': 1, 'ps4': 4, 'ps4limitededition': 4, 'sonyps4': 3, 'ps4slimwhite': 3, 'ps4slim': 4, 'ps4lunaedition': 3, 'playstation4bekas': 4, 'playstation4': 3, 'playstation4slim': 3, 'playstationdaysofplayedition': 3, 'ps4daysofplay': 3, 'ps4days': 3, 'ps4second': 4, 'ps4bekas': 4, 'ps4murah': 4, 'ps4bandung': 7, 'ps4ori': 3, 'sonyplaystation': 3, 'ps4cuh2006b': 3, 'ps42106a': 3, 'ps41tb': 3, 'playstation41tb': 3, 'playstation4second': 4, 'ps4bekasmulus': 3, 'ps4murahbandung': 3, 'asus': 1, 'asusrogally': 1, 'asusrogallyz1extreme': 1, 'asusrogallyhandheld': 1, 'asusrogallygaming': 1, 'asusrogallyz1': 1, 'asusrogallyz1extremebandung': 1, 'gaminghandheld': 1, 'pcgaming': 1, 'pcportable': 1, 'asusrogallysecond': 1, 'asusrogallybekas': 1, 'asusrogallyz1extremesecond': 1, 'barangbekas': 2, 'barangsecond': 1, 'gaming': 2, 'gamers': 6, 'rogallybekas': 1, 'laptop': 2, 'laptoplenovo': 1, 'notebooklenovo': 1, 'jualbelilaptop': 1, 'laptopideapad': 1, 'lenovoideapad': 1, 'ideapadgaming3': 1, 'ideapadslim3': 1, 'laptopseken': 3, 'laptopsecond': 3, 'laptopbekas': 2, 'laptopmurah': 1, 'notebooksecond': 1, 'notebookbekas': 2, 'notebookseken': 1, 'barbase': 3, 'gadget': 4, 'laptopbandung': 2, 'nintendoswitch': 4, 'nintendoswitchofw': 3, 'switch': 4, 'joycon': 4, 'sxpro': 4, 'nintendocfw': 4, 'nintendobdg': 4, 'jualnintendo': 4, 'nintendoswitchcfw': 4, 'nintendoswitchbandung': 4, 'nintendoswitchseken': 4, 'nintendoswitchbekas': 4, 'nintendoswitchsecond': 4, 'nintendoswitchmurah': 4, 'nintendoswitchbajakan': 4, 'nintendoswitchsxpro': 4, 'switchmurmer': 4, 'switchbandung': 4, 'handledconsole': 4, 'switchconsole': 4, 'gamehandledmurahbanget': 4, 'bandung': 4, 'ps4fat': 1, 'ps4fullgame': 1, 'ps4pro': 1, 'ps4seken': 1, 'playstation4seken': 1, 'ps4hen': 3, 'playstation4hen': 2, 'playstation4callofduty': 1, 'ps4callofduty': 1, 'console': 1, 'rare': 1, 'ps4cuh1000': 1, 'plastation4hen': 1, 'nintendoswitchlite': 1, 'switchlite': 1, 'fifa2020': 1, 'losesphear': 1, 'notebook': 1, 'laptopdell': 1, 'notebookdell': 1, 'laptoptouchscreen': 1, 'laptopdell5000series': 1, 'dell5000series': 1, 'laptopoffice': 1, 'laptopkuliah': 1, 'laptopgaming': 1, 'dellnotebook': 1, 'laptopsecondmurah': 1, 'tv': 1, 'tvled': 1, 'ledtv': 1, 'television': 1, 'sharp': 1, 'tvsharp': 1, 'sharptv': 1, 'sharptvled': 1, 'tvmurah': 1, 'tvsecond': 1, 'tvbaru': 1, 'jualtv': 1, 'tvledsharp': 1, 'sharpledtvmurah': 1, 'tvandroid': 1, 'androidtv': 1, 'googletv': 1, 'tvgoogle': 1, 'netflix': 1, 'primevideo': 1, 'ledtvsharp32inc': 1, 'iwatch': 1, 'applewatch': 1, 'applewatchse': 1, 'iwatchse': 1, 'iwatchgen6': 1, 'applewatchgense': 1, 'applewatch6': 2, 'applewatchbandung': 1, 'applewatchmurah': 1, 'applewatchseriesse': 1, 'applewatchspecialedition': 1, 'jamdigital': 1, 'jammurah': 1, 'iwatchsecond': 1, 'iwatchmurah': 1, 'iwatchspecialedition': 1, 'iwatchindonesia': 1, 'apple': 1, 'iwatchbandung': 1, 'jualbelibandung': 1, 'jualjambandung': 1, 'applewatchseries6': 1, 'applewatchmurahbandung': 1, 'iphone': 1, 'iphone11': 1, 'iphone11pro': 1, 'iphone11promax': 1, '11pro': 1, '11promax': 1, 'instagood': 1, 'jualhp': 1, 'jualhandphone': 1, 'jualbelihandphone': 1, 'handphonemurah': 1, 'handphonebekas': 1, 'jualbeliphone': 1, 'barangmurah': 1, 'iphonemurah': 1, 'iphonebandung': 1, 'iphone11promaxibox': 1, 'headset': 1, 'earphone': 1, 'headsetgaming': 1, 'hyperx': 1, 'hyperxcloud': 1, 'gamingheadset': 1, 'gamingearphone': 1, 'headsetbekas': 1, 'headsetgamingbekas': 1, 'headsetsecond': 1, 'headsetgamingsecond': 1, 'headsetmurah': 1, 'headsetterbaik': 1, 'gamingheadsets': 1, 'keyboard': 1, 'keyboardgaming': 1, 'keyboardgamingmurah': 1, 'logitech': 1, 'keyboardlogitech': 1, 'logitechg512': 1, 'logitechg512carbon': 1, 'keyboardgamingseken': 1, 'keyboardgamingbekas': 1, 'keyboardgamingsecond': 1, 'logitechg512second': 1, 'logitechg512bekas': 1}"
36,5681,185.97,13.25,3.5067,3.9918,49,37,0,12,26.204,"{'street_me_up': 43, 'rromastreet': 43, 'street_badass': 43, 'geonusantara': 43, 'insanindonesia': 43, 'street_avengers': 43, 'streetistoria': 43, 'thepictoriallist': 43, 'effe4': 43, 'postal5punto6': 45, 'idaretoshoot': 43, 'littleboxcollective': 43, 'dreaminstreets': 43, 'stripetherapy': 43, 'streetphotographysociety': 43, 'esp_collective': 43, 'thephotosector': 43, 'viststreet': 43, 'photostreetmexico': 43, 'streetevenings': 43, 'street_photography_group': 43, 'des_photomag': 44, 'destacadosiso833': 43, 'streetphotographers': 15, 'hkbkollectiv': 43, 'sweet_street_beat': 42, 'street_macadam': 43, 'spa_artists': 42, 'malang': 8, 'kakekarifinmalang': 1, 'bioskopkelud': 2, 'terminalpondokpinang': 1, 'semarang': 1, 'womeninstreet': 28, 'streetsygram': 24, 'outofthephotos': 28, 'telagasarangan': 1, 'documagazine': 1, 'streetphotography': 1, 'streetphotographymagazine': 1, 'publication': 1, 'streetphotographyindonesia': 1, 'exhibition': 1, 'photoexhibition': 1, 'ecoscardinales2024': 1, 'fotografiadecalle': 1, 'casatalavera': 1, 'mexico': 1, 'indonesiamexico': 1, 'huttni79': 1}"
37,5010,123.6,0.98,2.4867,0.0,0,0,0,0,0.0,{}
38,7674,133.8,5.46,1.8147,2.5736,2,1,0,1,0.0,{}
39,3727,82.07,2.02,2.2562,2.4929,11,0,7,4,3.364,"{'baninafact': 8, 'baninaindonesia': 5, 'pemburudiskon': 1, 'outfitoftheday': 4, 'arabicblack': 1, 'arabicblackred': 1, 'koreanblackpicture': 1, 'songkokbanina': 1, 'songkokdenim': 1, 'songkoktahanair': 1, 'liscarf': 1, 'expo': 1, 'expokemandirianpesantren': 1, 'transstudiobandung': 1, 'outfitideas': 2, 'braveryflowtshirt': 1, 'tshirt': 2, 'baninafactory': 1, 'menwearsince2019': 1, 'kaoscowok': 1, 'stylish': 1}"
40,14615,1105.15,13.36,7.6531,4.1635,8,0,8,0,3.625,"{'legendergrs': 1, 'proretroid': 2, 'slk55': 1, 'slk55amg': 1, 'chambergang': 1, 'lbwk': 1, 'fitment': 1, 'mercedes': 1, 'mercedesbenz': 1, 'terangbersamapro7': 1, 'pro7media': 1, 'dieselwar': 1, 'dieselwarindonesia': 1, 'proretroindonesia': 1, 'proretrobandung': 1, 'proretrojakarta': 1, 'proretrobekasi': 1, 'proretroonline': 1, 'teampro7': 1, 'upswaymaker': 1, 'oriosalpha': 1, 'bullaes': 1, 'deluxe': 1, 'teranggakharusmahal': 1, 'kardusbalap': 1, 'bawangmasgroup': 1, 'cls350amg': 1, 'pamekasanpower': 1}"
