Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
35237,1979.43,36.95,5.7223,4.0084,14,8,3,3,4.357
35898,4098.92,40.13,11.53,3.8178,8,5,3,0,29.875
27649,249.65,14.53,0.9555,0.0,0,0,0,0,0.0
43424,972.29,6.2,2.2533,1.2276,65,21,0,44,8.092
35507,95.86,4.39,0.2824,0.1077,4,1,3,0,9.5
31474,124.67,8.7,0.4238,0.1668,10,4,6,0,5.9
41500,196.93,15.88,0.5128,1.1463,15,2,2,11,6.8
38022,125.36,4.07,0.3404,0.1289,1,0,1,0,29.0
83386,2549.94,54.87,3.1238,0.4071,18,0,16,2,5.889
43107,736.52,17.35,1.7488,0.0,0,0,0,0,0.0
19720,1607.06,140.76,8.8632,8.1611,8,1,5,2,0.0
465027234,8671952.69,51758.33,1.876,1.5903,31,6,6,19,0.323
356687629,8296735.66,47534.12,2.3394,1.6189,45,3,11,31,0.044
347032978,6895177.81,47044.54,2.0005,1.9045,27,2,12,13,0.704
334551681,6252711.42,39167.12,1.8807,0.772,21,2,4,15,0.333
327064138,1874150.5,8529.75,0.5756,0.3723,60,6,50,4,1.067
323090977,3536820.06,16964.81,1.0999,0.9689,30,1,4,25,0.0
321374794,3712125.93,19077.73,1.161,1.0158,35,10,6,19,0.2
267023539,3627594.67,24558.15,1.3677,0.6771,24,1,8,15,0.0
260359924,2391194.0,10442.21,0.9224,0.3112,30,5,3,22,0.5
247599374,5520992.5,21191.33,2.2384,1.9339,12,1,0,11,0.333
247448517,1887637.68,10084.75,0.7669,0.4042,5,1,0,4,0.0
232020700,304664.0,1225.23,0.1318,0.0726,183,74,63,46,0.41
228524022,333382.0,5520.94,0.1483,0.0755,30,4,13,13,0.9
218097325,2397441.0,334.73,1.0994,1.7283,4,1,1,2,0.25
217547805,1691841.5,11942.84,0.7832,0.541,18,2,12,4,0.556
206743723,3472381.5,18090.07,1.6883,1.1349,7,1,5,1,3.0
197697257,2161401.25,19624.63,1.1032,0.6336,49,1,5,43,1.204
188868254,1767538.46,6616.93,0.9394,1.2607,9,2,0,7,0.0
178122866,1311897.7,6343.57,0.7401,0.913,6,1,2,3,2.5
176162107,2705534.49,47.64,1.5358,1.2232,35,5,12,18,0.686
167005817,720700.26,4824.75,0.4344,0.2112,61,5,35,21,0.311
148755284,533486.92,3749.93,0.3612,0.1047,70,13,34,23,0.771
147816903,5744110.0,16106.14,3.8969,5.6179,2,1,0,1,0.0
137199449,3094440.72,18910.93,2.2692,1.5713,18,1,2,15,0.111
136695965,1146626.67,9535.06,0.8458,0.2828,18,2,5,11,0.056
133436105,3691546.0,20974.19,2.7822,2.9145,10,0,6,4,0.6
127326148,2102660.33,13785.98,1.6622,0.9984,19,3,10,6,0.421
123619409,424885.52,3787.96,0.3468,0.0862,0,0,0,0,0.0
121711711,1009067.54,3553.24,0.832,0.7848,508,256,134,118,1.205
116476688,1723164.25,83.42,1.4795,1.3645,16,1,5,10,0.0
115007167,465597.39,3862.72,0.4082,0.3146,14,9,2,3,0.071
109950457,1176560.05,4342.09,1.074,0.6355,510,224,129,157,0.216
104462435,8520777.67,45267.42,8.2001,4.8839,22,3,5,14,0.0
85085187,2091782.11,4827.43,2.4641,1.6525,33,0,0,33,0.0
83763785,1377079.5,4787.18,1.6497,0.8213,6,0,0,6,0.167
81632030,1384972.67,7997.02,1.7064,0.7229,10,10,0,0,0.1
80262430,1580291.63,4660.02,1.9747,2.2966,30,2,12,16,0.9
79870794,5650260.5,51630.4,7.1389,10.344,18,1,2,15,0.333
