Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary),Hashtags_Count,Hashtags_Sum,Unnamed: 0
74552708,205719.22,2673.9,0.2795,0.1649,754,96,579,79,0.853,"{'Vtape': 1, 'doggsupplyclothing': 15, 'blanket': 1, 'snuggie': 2, 'walmartfinds': 6, 'walmart': 18, 'doggsupplyapparel': 14, 'snoopdogg': 55, 'worldseries': 1, 'game1': 1, 'fernandovalenzuela': 2, 'liveperformance': 1, 'dreamsdocometrue': 1, 'deathrowrecords': 10, 'first': 1, 'mariachiartist': 2, 'producer': 4, 'mariachi': 4, 'dodgers': 3, 'dodgeram': 1, 'dodgerstadium': 1, 'cityoflosangeles': 2, 'yankeesvsdodgers': 1, 'fyp': 7, 'lafiestademipueblo': 1, 'juliantorresymariachicenzontle': 4, 'clip': 1, 'snoop': 5, 'strat': 1, 'mission': 2, 'uncrossable': 1, 'dodgersfreestyle': 1, 'aintnofun': 1, 'BigBoy30': 8, 'loungewear': 2, 'pajamas': 1, 'FernandoValenzuela': 1, 'thaeastsidaz': 1, 'stilleasty': 1, 'ginandjuice': 9, 'sleepwear': 5, 'holidays': 1, 'motivation': 1, 'mindset': 1, 'believe': 1, 'quotes': 1, 'success': 1, 'life': 1, 'intrepidusvision': 1, 'Missionary': 1, 'drdre': 7, 'bigboysneighborhood': 2, 'kday': 2, 'kdaymorningshow': 1, 'kdayalldayeveryday': 1, 'deathrow': 2, 'latinosbelike': 1, 'kdayradio': 1, 'kdayinterview': 1, 'romeonyoradio': 1, 'streetstyle': 2, 'repost': 5, 'TheVoice': 16, 'footballfamily': 1, 'coachsnoop': 1, 'lbc': 1, 'longbeach213': 1, 'lbcthang': 1, 'itsalongbeachthang': 1, 'eastsidelb': 1, 'eastsidelbc': 1, 'longbeachlegends': 1, 'longbeachrappers': 1, 'eastsidelongbeach': 1, 'longbeach': 1, 'straightouttalongbeach': 1, 'welcometolongbeachca': 1, 'losangelescalifornia': 1, 'westcoastrappers': 1, 'gangstarap': 1, 'cripcity': 1, 'cripshitcuzz': 1, 'cripgang': 1, 'gfunk': 4, 'gfunkera': 1, 'westcoasttrap': 1, 'westcoasthiphop': 7, 'thebirminghammusicplugð': 1, 'PookieFNRude': 1, 'HeartacheTonight': 1, 'popsnoop': 1, 'snowballs': 1, 'warvet': 1, 'givingback': 1, 'somegaveallallgavesome': 1, 'soulofasoldier': 1, 'drzodiaksmoonrock': 1, 'DoggSupply': 18, 'HBD': 1, 'WestCoastKingAndQueen': 1, 'BossLadyEntertainmemt': 1, 'BLE': 1, 'CeceValencia': 1, 'GuapCityProduction': 1, 'HappyBirthday': 5, 'AfterNoonRide': 1, 'nbc': 4, 'mariachientrance': 1, 'vivamexico': 1, 'mexico': 5, 'musicamexicana': 4, 'elrey': 3, 'theking': 1, 'parati': 4, 'hoodie': 7, 'tracksuit': 5, 'trending': 6, 'velour': 5, 'ootd': 2, 'walmartfashion': 2, 'doggsupplywalmart': 2, 'Weekends': 2, 'OwnLane': 2, 'FeelGoodFriday': 2, 'peace': 3, 'MichaelBuble': 6, 'spokesnvogues': 1, 'explore': 2, 'culture': 2, 'jazz': 2, 'michaelbuble': 1, 'bigboy30': 6, 'DoggSupply.': 1, 'menswear': 1, 'hiphoplegend': 1, 'hiphopculture': 4, 'snoopdoggydogg': 2, 'hiphopnews': 1, 'oldschoolhiphop': 3, 'realhiphop': 1, 'westcoasthiphop': 4, 'realrap': 1, 'hiphophead': 3, 'hiphopjunkie': 1, '50cent': 4, 'nipseyhussle': 1, 'methodman': 1, 'happybirthday': 3, 'libra': 1, 'metalalchemist': 1, 'madeinrhodeisland': 1, 'icon': 1, 'lovechild': 1, 'thegamma': 1, 'jewelry': 1, 'sneakpeek': 1, 'unclesnoop': 1, 'artworks': 1, 'love': 2, 'WizKhalifa': 1, 'TaylorGangInfo': 1, 'TaylorGang': 1, 'TGOD': 1, 'doggylandkids': 5, 'snoopspecialstars': 1, 'StillGin': 4, 'whoisLA': 1, 'marijuanapartner': 1, 'badmom': 1, 'smokefree': 1, 'teamdads': 1, 'wishgranted': 1, 'HBD2Snoop': 1, 'Vtape': 1, 'SnoopFriends': 1, 'producing': 1, 'candy': 1, 'sunglasses': 1, 'playtime': 1, 'snoopy': 1, 'dads': 1, 'shoutout': 1, 'bigboy': 1, 'realemcees': 1, 'gems': 1, 'tbt': 1, 'kitties': 1, 'realpeople': 1, 'family': 1, 'tbtweekend': 1, 'puppy': 1, 'doglife': 1, 'ourdogs': 1, 'ourpaws': 1, 'snoopyday': 1, 'goodvibes': 1, 'hearts': 1, 'ThankYou': 1, 'snoopdoggydogg': 1}",196.0,485.0,
74516736,1237162.25,4077.07,1.6657,0.8163,34,10,7,17,0.382,"{'dayofthegirl': 1, 'girlgoals': 1, 'harperseven': 4, 'mattdamon': 2, 'letsdodinner': 1, 'beyourownboss': 1, 'johnbattsek': 1, 'threelions': 1, 'onthisday': 1}",9.0,13.0,
73424750,1609147.0,6224.39,2.2,1.8881,50,17,15,18,1.92,"{'profitrestmattress': 1, 'mattress': 1, 'didyousleepwell': 1, 'sleepwell': 1, 'collab': 1, 'venom': 2, 'releasingtomorrow': 1, 'screen': 2, 'screencover': 1, 'shraddhakapoor': 4, 'newbeginnings': 1, 'screenisback': 1, 'screenlaunch': 1, 'streeonprime': 5, 'skyhandogsneaker': 1, 'asicssportstyle': 1, 'soundmindsoundbody': 1, 'partnership': 1, 'kalki': 1, 'mushk2024': 1, 'ad': 2, 'palmonas': 1, 'demifinejewellery': 1, 'antitarnishjewelleryindia': 1, 'waterproofjewellery': 1, 'diwalicollection': 1, 'cosmopolitanindia': 1, 'covershoot': 1, 'cosmocoverstar': 1, 'anniversaryissue': 1, 'tyoharsabkehai': 1, 'shraddhatrustsyesmadam': 1, 'yesmadam': 2, 'homesalon': 2, 'dineshvijan': 5, 'jyotideshpande': 5, 'mishru': 1, 'resonance2025': 1, 'stree2': 5, 'stree2sarkatekaaatank': 4, 'streevssarkata': 4, 'stree2incinemas': 4, 'penmarudhar': 4, 'taazakhabar': 1, 'feminaseptember2024': 2, 'feminacover': 2, 'feminaxshraddhakapoor': 2, 'bollywood': 2, 'ajioallstarssale': 1, 'ajiolove': 1, 'houseofbrands': 1, 'shraddhasaysyesmadam': 1, 'shaktisaysyesmadam': 1, 'acquirex': 1, 'wegofin': 1, 'futurefinance': 1}",56.0,96.0,
73016997,148111.84,389.13,0.2034,0.0287,178,29,125,24,0.652,"{'vsfashionshow': 107, 'vsxisback': 6, 'vsxsweepstakes': 1, 'behandice': 1, 'softerthanever': 1}",5.0,116.0,
72335779,2454367.87,10607.12,3.4077,3.3776,12,1,2,9,0.417,"{'2icons1vision': 1, 'partnershipofexcellence': 1, 'kylianmbappeneedsyou': 1, 'sorare': 1, 'nikefootball': 1}",5.0,5.0,
70376999,1530347.0,7334.27,2.1849,0.8883,9,1,3,5,0.667,"{'nothingmehaboutit': 1, 'learntolove': 1, 'shekharravjiani': 1, 'nehakakkar': 1, 'garuudaamusiic': 1, 'lovesong': 1}",6.0,6.0,
69407554,3500515.0,23995.51,5.078,2.5101,29,1,14,14,0.0,{},0.0,0.0,
68938585,374008.69,1014.69,0.544,0.308,1660,102,821,737,0.559,"{'emiratesnbacup': 12, 'nbaenmÃ©xico': 17, 'nbaallstar': 6, 'nbavault': 17, 'sofiplayin': 2, 'nbaplayoffs': 2, 'phantomcam': 3, 'flybetter': 2, 'kiatipoff24': 83, 'nbaenmexico': 1, 'mffl': 23, 'sponsored': 1, 'kiawhoyagot': 6, 'nbabday': 10, 'nbastyle': 2, 'nbahbcuclassic': 1, 'nbafitness': 14, 'sharedreality': 2, 'heatnation': 1, 'nba2k25': 2, 'nbacelebrow': 2, 'nbarooks': 18, 'kiamvp': 9, 'nbakicks': 6, 'ucl': 1, 's': 1, 'hivementality': 2, 'nbahbcuclasssic': 1, 'letemknow': 3, 'jamesgang': 1, 'nbapreseason': 126, 'le_sserafimxnba': 2, 'nbajerseyday': 26, 'lakers': 1, 'bronny': 1, 'bronnyjames': 1, 'daltonknecht': 1, 'nba': 5, 'nbatrivia': 1, 'basketball': 1, 'wnbafinals': 55, 'welcometothew': 37, '1': 7, 'mavericksallaccess': 3, 'grizzliesallaccess': 1, 'mavsallaccess': 2, 'jrnbajrwnbaweek': 4, 'jrnba': 2, 'emirates': 1, 'lakersallaccess': 5, 'spiritday': 1, 'kiaroy': 4, 'spursallaccess': 2, 'nbasummer': 1, 'teammatetuesday': 1, 'jrwnbaweek': 1, 'foreverforward': 1, 'sunsallaccess': 3, '24hoopclass': 55, 'coachappreciationday': 1, 'raising18': 2, 'gowdyaward': 1, 'insidestuff': 3, 'dreamteam': 1, 'naismithhalloffame': 1, 'nbpreseason': 2, 'magicallaccess': 4, 'warriorsallaccess': 5, 'takenote': 1, '2': 3, 'beproactive24': 3, 'timeoutagainsthate': 1, 'standuptoallhate': 1, 'jeonsomixnba': 2, 'boynextdoorxnba': 1, 'boynextdoor': 1, 'mentalhealthinprosport24': 3, 'nbainabudhabi': 51, 'wnba': 1, 'voteforourfuture': 1, 'hhm': 1, 'wnbaplayoffs': 24, 'nbamediaday': 80, 'nationalcoachesday': 1, 'nbacanadaseries': 1, 'nbainadudhabi': 1, 'usabmnt': 7, 'raisethestakes': 3, 'kiasixth': 1, 'nbagreen': 1, '8': 1, 'ÙÙ_Ø£Ø¨ÙØ¸Ø¨Ù': 2, 'mavsmediaday': 3, 'detroitbasketball': 1, 'daleheat': 1, 'kiadpoy': 2, '4': 1, '3': 2, 'kiamip': 2, 'differenthere': 1, '6': 1, 'nationaldanceday': 1, 'nationalblackvoterday': 1, 'getinthegamevote': 1, 'bestofusab': 2, 'nationalvoterregistrationday': 1, 'voteready': 1, 'bestofnba': 60, 'intercontinentalcup': 4, 'thebal': 1, 'Ø§ÙØ§ØªØ­Ø§Ø¯_Ø£Ø±ÙÙØ§': 1, 'allinlv': 1, 'gleaguefallinvitational': 1, 'neverforget': 1, 'usab50': 1, 'nbadefenseweek': 21, 'paris2024': 1, 'kiapotm': 1}",118.0,928.0,
68330604,2953851.5,24367.34,4.3585,2.3288,25,3,17,5,0.12,"{'gatishakti': 1, 'aavatikalay': 1, '10yearsofswachhbharat': 1}",3.0,3.0,
68085856,5080827.58,42238.5,7.5244,11.4819,35,9,1,25,0.0,{},0.0,0.0,
67796542,1544528.95,4756.23,2.2852,1.3679,7,2,4,1,4.286,"{'slaythegame': 1, 'bgmixdeepikapadukone': 1, 'worldmentalhealthday': 3, 'wmhd2024': 3, 'mentalhealthmatters': 3, 'mentalhealthforall': 3, 'livelovelaugh': 3, 'lectureseries': 3, 'lectureseries2024': 3, 'deepikapadukone': 3, 'ariannahuffington': 3, 'singhamagain': 1}",12.0,30.0,
67657871,5408241.0,27396.79,8.034,12.607,12,1,8,3,0.417,"{'tinfoilswans': 1, 'shinealight': 1, 'tomholland': 1, 'spiderman': 1, 'thebrotherstrust': 1}",5.0,5.0,
67428908,1759431.13,6892.53,2.6195,4.1351,43,7,14,22,1.581,"{'imafan': 1, 'alpha': 2, 'jigra': 22, '2daystogo': 1, 'jigratitletrack': 2, 'manojpahwa': 7, 'yrfspyuniverse': 1, 'tenusangrakhna': 2, 'jigratelugu': 1, 'worthit': 5, 'ledefile2024': 1, 'lorealparis': 3, 'walkyourworth': 1, 'parisfashionweek2024': 1, 'jigratheatricaltrailer': 1, 'aliabhatt': 2, 'allurebestofbeauty': 2, 'bestofbeauty': 2, 'aliabhattfans': 2, 'chalkudiye': 4, 'devara': 1, 'lorealparismakeup': 2, 'lorealparisfamily': 2}",23.0,68.0,
