Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary),Hashtags_Count,Hashtags_Sum
232211,9975.56,369.1,4.4549,3.2741,18,0,16,2,4.333,"{'memesdaily': 1, 'jettvalorant': 1, 'valorantmemes': 1, 'brainrot': 1, 'movielanddicomicon': 1, 'telkomselmovieland': 1, 'hiburangahabishabis': 1, 'eventindonesia': 1, 'wibuindonesia': 3, 'indonesiacomiccon': 1, 'fypindonesia': 3, 'trendingindonesia': 1, 'meme': 3, 'relateable': 1, 'fyp': 3, 'trending': 3, 'catmeme': 1, 'kuromi': 1, 'kuromiedit': 1, 'cosplayer': 3, 'nikke': 1, 'happyanniv2nikkeid': 1, 'nikkegoddessofvictory': 1, 'cosplayindonesia': 1, 'wibu': 1, 'gamerindonesia': 2, 'povreels': 1, 'relatable': 1, 'ellenjoe': 1, 'cosplay': 3, 'yoasobi': 1, 'comifuro19': 1, 'erriaeri': 1, 'event': 1, 'memeindonesia': 2, 'hutaocosplay': 1, 'wkwk': 1, 'kenalinges': 1, 'cosplayerindonesia': 1, 'jikocosplay': 1, 'cosplaygirl': 1, 'yorforger': 1, 'wots': 1, 'tawadireels': 1, 'dinokuning': 1, 'razer': 1, 'midgardianforgers': 1, 'ragnarokorigin': 1, 'rooid': 1, 'japantrip': 2, 'fypreelsinstagram': 1, 'viraldances': 1, 'asianbeauty': 1, 'fypchallenge': 1, 'japanlife': 1, 'trendingdance': 1, 'eventjejepangan': 1, 'eventjepang': 1, 'cosplaycorner': 1, 'guestcosplay': 1, 'erriaerri': 1}",61.0,78.0
597310,89801.29,957.88,15.1947,4.4763,20,2,17,1,0.0,{},0.0,0.0
161780,1093.76,22.27,0.6898,1.3513,114,24,74,16,5.868,"{'shanity': 12, 'marshed': 80, 'revublicmarshed': 85, 'repost': 6, 'nontondiwetv': 4, 'wetvindonesia': 4, 'wetvid': 4, 'wetvoriginal': 4, 'jangansalahkanakuselingkuh': 45, 'marshanda': 107, 'giorginoabraham': 28, 'stefanwilliam': 25, 'dosmahazenbosch': 13, 'marshanda99': 95, 'chacha': 80, 'niaramadhani': 2, 'anggayunanda': 1, 'sheninacinnamon': 1, 'talkpod': 1, 'jsas': 26, 'listenmarshanda': 1, 'coversong': 1, 'beyonce': 1, 'darkretreat': 1, 'scripttoscreen': 1, 'marshandacommunity': 1, 'throwback': 3, 'bencibilangcinta': 1, 'baimwong': 1, 'vickynitinegoro': 1, 'kisahsedihdihariminggu': 2, '2004': 1, 'riomotret': 2, 'marshanda9': 2, 'bidadari': 1, 'inloveagain': 2, 'dennysumargo': 1, 'lisa': 1, 'lisablackpink': 1, 'emilmario': 3, 'fendychow': 1, 'indukgajah': 3, 'marshedpoem': 1, '3d': 1, 'cartoon': 1, 'ai': 1, 'bawangputih': 1, 'sienna': 1, 'foryou': 1, 'explore': 1, 'adobe': 1, 'illustration': 1, 'xyzbca': 1, 'latepost': 1, 'wetv': 1, 'presconference': 1}",56.0,669.0
422487,82076.86,314.91,19.5016,12.9522,19,0,13,6,1.421,"{'lalaken': 10, 'equestrian': 1, 'horseriding': 1, 'outfitoftheday': 1, 'outfit': 4, 'outfitinspiration': 1, 'beranisehat': 1, 'cukupsetitik': 1, 'sooknco': 1, 'outfitinspo': 3, 'lalakenfits': 3}",11.0,27.0
187957,1594.55,43.4,0.8714,1.9667,58,6,46,6,0.0,{},0.0,0.0
395919,29817.99,673.51,7.7014,7.5269,54,1,49,4,0.167,"{'pcx160': 1, 'berburucemilanseru': 1, 'gebyarundianindomaret': 1, '36thindomaret': 1, 'semarakulangtahunindomaret': 1, 'persebayaday': 1, 'tenangadabosch': 1, 'akibosch': 1, 'smmegapower': 1}",9.0,9.0
214061,19938.57,66.94,9.3457,6.0215,38,0,27,11,6.868,"{'fyp': 23, 'maternity': 3, 'nextnextweek': 1, 'laborprep': 1, 'pregnant': 10, 'miscarriage': 2, 'infertility': 1, 'god': 1, 'jesus': 1, 'love': 1, 'd20': 1, 'singaporeaninkorea': 18, 'recommendation': 16, 'korsgbaby': 11, 'notifam': 5, 'cozystory': 1, 'koreanbabybrand': 1, 'makeup': 5, 'kbeauty': 10, 'cushion': 1, 'ongredients': 1, 'pregnancy': 4, 'lasttrimester': 1, 'momtobe': 4, 'suspectchallenge': 1, 'mentalhealthawareness': 1, 'postpartum': 1, 'prepartum': 1, 'support': 1, 'livinginkorea': 1, 'foreignerslife': 1, 'd': 1, 'babyitems': 1, 'koreababyitems': 1, 'bamboobebe': 1, 'babysafematerial': 1, 'mumshack': 1, 'singaporemums': 1, 'stylekorean': 1, 'christmas': 1, 'adventcalendar': 1, 'koreanmakeup': 1, 'koreanskincare': 1, 'stylekoreanglobal': 1, 'alliwantforchristmasisyou': 1, 'giveaway': 1, '100kfollowers': 1, 'tiktoksg': 1, 'tiktokkorea': 1, 'reelssg': 1, 'youtubesg': 1, 'breastfeeding': 1, 'korean': 4, 'photoshoot': 2, 'soccer': 1, 'trend': 4, 'korea': 3, '????': 1, 'maternityphotography': 1, 'photography': 1, 'sgbeauty': 1, 'thankful': 1, 'grateful': 1, 'blessed': 1, 'lyongi': 1, 'thirdtrimester': 2, '34weeks': 1, 'babymat': 1, 'littlelife': 1, 'bumpdate': 1, '33weekspregnant': 1, 'hemeko': 1, 'kmakeup': 1, 'hongdae': 3, 'firsttimeparents': 1, 'ootd': 1, '33weeks': 1, 'fashion': 1, 'capsule': 1, 'fall': 1, 'koreanstyle': 1, 'houseofhur': 1, 'etreausommet': 1, 'profilephoto': 2, 'seoul': 1, 'modelro': 1, 'seec': 2, 'seeckorea': 1, 'nesting': 1, '??': 1, '?????': 1, '???????': 1, '??????': 1, '??????????': 1, '???': 1, '? ????': 1, 'realtalk': 1, 'morningpost': 1, 'appreciationpost': 1, '30s': 1, 'last20s': 1, 'birthday': 1, 'hohem': 1, 'isteadyv3': 1, 'aitracking': 1, 'tripod': 1, 'smartgadgets': 1, 'tirtir': 1, 'pregnancysafe': 1, 'd63': 1, 'sg': 1, 'skincare': 1, 'klairs': 1, 'mapleenergy': 1, 'autumn': 1, 'travel': 1, 'iphone': 1, 'unboxing': 2, 'apple': 1, 'iphone16pro': 1, 'klairsseoul': 1, 'hairtutorial': 1, 'pregnancyhair': 1, 'vodana': 1, '30weekspregnant': 1, 'chuseok': 2, 'fwee': 1, 'blurrypuddingpot': 1, 'newbag': 1, 'polene': 1, 'poleneseoul': 1, 'mumbag': 1, 'birthdaygift': 1, 'september': 1, 'boymum': 1, 'koreathanksgivingday': 1, 'romans5v3thru5': 1}",137.0,252.0
117585,6373.44,68.15,5.4782,3.4391,59,0,59,0,2.254,"{'viral': 14, 'trending': 59, 'fyp': 59, 'fyp?': 1}",4.0,133.0
1061034,54289.15,225.98,5.1379,6.0719,17,1,9,7,3.353,"{'viral': 1, 'tendencia': 1, 'humor': 2, 'parati': 1, 'colombia': 5, 'santamarta': 1, 'deporte': 2, 'dios': 1, 'fyp': 1, 'brasil': 5, 'argentina': 1, 'eliminatoria': 1, 'vini': 4, 'balondeoro': 4, 'robo': 2, 'futbol': 3, 'mundo': 4, 'triste': 2, 'españa': 4, 'championsleague': 1, 'realmadrid': 1, 'nikebrasil': 1, 'vamoscolombia': 1, 'seleccioncolombia': 2, 'creadoresdecontenido': 1, 'panama': 1, 'balon': 1, 'messi': 1, 'comedia': 1, 'fifa': 1}",30.0,57.0
208056,46415.8,188.89,22.4001,42.9388,17,0,15,2,0.176,"{'indomiekoreanseries': 1, 'ohmygooditsindomie': 1, 'pedesnyabeneran': 1}",3.0,3.0
471261,18937.55,29.34,4.0247,7.024,368,235,35,98,1.179,"{'neymar': 204, 'neymarjr': 206, 'vemprawolvz': 4, 'fazteunome': 1, 'sportingbet': 1, 'fazumsportingbetae': 1, 'publi': 1, 'neyday': 7, 'saopaulo': 1, 'calleri': 1, 'lucasmoura': 1, 'copadobrasil': 1, 'brasileirao': 1, 'corte': 1, 'barbeiro': 1, 'regua': 1, 'barbearia': 1}",17.0,434.0
177085,3300.79,19.04,1.8747,1.5736,67,26,38,3,1.925,"{'moneyshotmonday': 10, 'ad': 10, 'poorpumpersociety': 36, 'reels': 36, 'septictank': 36, 'texas': 1}",6.0,129.0
485475,20800.6,55.21,4.296,4.5063,112,47,42,23,2.589,"{'zzzero': 103, 'zenlesszonezero': 95, 'thewordonsixthstreet': 4, 'yanagi': 14, 'nicole': 1, 'soukaku': 2, 'miyabi': 3, 'zzzblazingbattle': 1, 'virtualrevenge': 2, 'soldier11': 3, 'harumasa': 3, 'happynicoleday': 1, 'happybillyday': 1, 'happyhalloween': 1, 'zzzmoechakkafire': 1, 'burnicewhite': 12, 'lucy': 5, 'spookyscene': 1, 'zzzspecialprogram': 1, 'neweriduhalloween': 1, 'hallowboo': 1, 'piper': 3, 'caesar': 14, 'burnice': 1, 'lycaon': 2, 'grace': 2, 'happylycaonday': 1, 'happypiperday': 1, 'redmoccus': 1, 'memezzz': 2, 'tourdeinferno': 1, 'lighter': 2, 'rina': 2, 'zzzcf': 1, 'creamfields': 1}",35.0,290.0
119898,39538.88,387.41,33.3002,45.8077,10,0,10,0,4.9,"{'chongqing': 10, 'china': 8, 'travel': 8, 'cyberpunk': 5, 'infrastructure': 2, 'cityview': 3, '??': 1, 'mazerunner': 1, 'inception': 2, 'tour': 1, 'tourguide': 1, 'nightlife': 1, 'bar': 1, 'travelguide': 1, 'traveltips': 1, 'nature': 1, 'holiday': 1, 'adventure': 1}",18.0,49.0
