Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
2199,11.47,1.09,0.5714,0.0,0.0,0.0,0.0,2.0,0.0
3211,194.28,3.91,6.1722,0.0,0.0,0.0,0.0,0.0,0.0
2971,62.05,0.64,2.11,1.1975,19.0,19.0,0.0,0.0,20.053
2777,168.21,2.0,6.1292,0.0,0.0,0.0,0.0,0.0,0.0
4582,48.89,2.48,1.1212,1.2222,1.0,0.0,1.0,0.0,4.0
2984,227.39,10.8,7.9821,0.0,0.0,0.0,0.0,0.0,0.0
6308,194.95,0.34,3.096,4.8126,19.0,10.0,0.0,9.0,0.316
8674,441.78,7.5,5.1796,1.1413,2.0,0.0,2.0,0.0,0.0
7940,55.54,0.42,0.7048,0.1063,50.0,13.0,3.0,34.0,3.82
2948,82.43,10.03,3.1363,4.8847,1.0,0.0,1.0,0.0,20.0
4137,175.9,20.29,4.7424,3.0296,3.0,1.0,1.0,1.0,0.667
4023,52.45,4.89,1.4253,1.305,4.0,0.0,3.0,1.0,3.25
3855,200.11,11.58,5.4912,0.0,0.0,0.0,0.0,0.0,0.0
4118,110.88,3.66,2.7813,2.2827,3.0,2.0,0.0,1.0,3.333
2805,76.63,0.68,2.7562,0.8318,3.0,0.0,0.0,3.0,1.667
9125,149.64,2.88,1.6714,4.2199,16.0,0.0,4.0,12.0,0.188
3796,26.27,3.21,0.7766,1.1855,1.0,0.0,0.0,1.0,0.0
7557,922.83,9.69,12.3399,4.0625,1.0,0.0,1.0,0.0,2.0
3874,13.67,2.73,0.4235,0.0,0.0,0.0,0.0,0.0,0.0
4560,75.98,3.51,1.7433,2.701,6.0,0.0,1.0,5.0,13.667
2107,143.48,4.19,7.0086,11.4143,2.0,1.0,0.0,1.0,0.0
2953,178.88,5.18,6.233,5.4408,6.0,0.0,2.0,4.0,4.333
