Username,Likes Avg.,Followers,Comments Avg.,Engagement Rate (60 Days),Friends with other famous influencer,Posting frequency (last 60 days)
gal_gadot,1377079.5,83763785,4787.181415929204,0.0082134535737749,0,0
vindiesel,1384972.6666666667,81632030,7997.0213903743315,0.0072286229256552,0,0
priyankachopra,1580291.6285714286,80262430,4660.018248175183,0.0229656841614171,0,0
lalalalisa_m,5650260.5,79870794,51630.40416666667,0.1034398797230652,0,0
nasa,1172499.9,78572117,3965.166883963494,0.0105785740762676,0,0
shakira,973225.6166666666,75751033,6292.061810154525,0.0072949248605536,0,0
gigihadid,2555316.25,74890004,6586.713062098501,0.0317714066045176,0,0
snoopdogg,205719.22368421053,74552708,2673.8992937483654,0.0016487262845602,0,0
davidbeckham,1237162.25,74516736,4077.069090909091,0.0081631500022022,0,0
shraddhakapoor,1609147.0,73424750,6224.394537177542,0.018880539950888,0,0
victoriassecret,148111.8363636364,73016997,389.1310664605873,0.0002866246735449,0,0
k.mbappe,2454367.866666666,72335779,10607.11652173913,0.0337757728605493,0,0
nehakakkar,1530347.0,70376999,7334.274015748031,0.0088834261397615,0,0
shawnmendes,3500515.0,69407554,23995.509719222464,0.0251010690678539,0,0
nba,374008.6914285715,68938585,1014.6888450148076,0.0030800686059339,0,0
narendramodi,2953851.5,68330604,24367.343096234308,0.0232879705202494,0,0
jennierubyjane,5080827.583333333,68085856,42238.50148809524,0.1148189686951802,0,0
deepikapadukone,1544528.95,67796542,4756.226277372263,0.0136785359956671,0,0
tomholland2013,5408241.0,67657871,27396.79120879121,0.1260702528879513,0,0
aliaabhatt,1759431.125,67428908,6892.528109028961,0.04135082469462,0,0
ronaldinho,891414.0833333333,67398061,4286.839059674503,0.0057929729969356,0,0
emmawatson,1858345.0,67107508,6711.485576923077,0.0001000758555728,0,0
bts.bighitofficial,4172263.1666666665,65962589,35250.45547445255,0.0720407083690759,0,0
katrinakaif,1674335.25,65597009,8971.833740831296,0.0374658190490996,0,0
justintimberlake,614677.0,65477707,6039.921052631579,0.0038519607996693,0,0
marvel,328737.6,65358436,1066.2219724641752,0.0050199596695487,0,0
camila_cabello,1853523.9285714289,64375364,7368.125720876586,0.0194345983003342,0,0
willsmith,1408560.3333333333,64260079,12989.699124726478,0.0002021184767022,0,0
raffinagita1717,387143.96774193546,62899363,3716.759681881051,0.0072981267760065,0,0
anitta,857234.1124999999,62896138,7632.5947403911,0.0087563842340578,0,0
maluma,1195150.8154761903,62706097,8056.752786220872,0.0148515839956952,0,0
akshaykumar,1516770.0,62614053,7210.882568807339,0.0135768634770112,0,0
jacquelinef143,1143262.3333333333,62118961,4780.738944365193,0.00972952070138,0,0
sooyaaa__,4493906.633333334,62062471,35145.84691011236,0.0924807458060116,0,0
psg,508990.4477513228,61178714,1457.0676016830294,0.0083213524788285,0,0
roses_are_rosie,4586884.9375,60940323,31561.863703703704,0.0864147152789652,0,0
anushkasharma,1925204.75,59276468,5906.839895013123,0.019773256627131,0,0
manchesterunited,384605.4114219114,58974258,1878.2301160148309,0.0050571864648222,0,0
whinderssonnunes,1616371.15,58591940,16203.310391363022,0.0074580996418429,0,0
9gag,678711.3186489217,58181054,5559.041481316726,0.0046683080048543,0,0
marcelotwelve,693038.1666666666,57439765,2503.0372439478583,0.0130710687109461,0,0
karimbenzema,876565.0,55869867,5392.554166666667,0.0234880334936267,0,0
chrishemsworth,2745384.0,55165178,8745.578947368422,0.0327496422026776,0,0
paulpogba,1397068.0,54634350,5836.703370786517,0.0133403736453454,0,0
iamzlatanibrahimovic,1541239.4166666667,54512391,7579.643076923076,0.0254303666187346,0,0
karolg,3028630.75,54422099,20350.10752688172,0.1280689934970045,0,0
leonardodicaprio,398191.4166666667,54158640,3509.686924493554,0.002202655279047,0,0
milliebobbybrown,3987302.6666666665,54105006,18188.15208333333,0.0851545854618376,0,0
juventus,201090.7333333333,54054171,952.79173553719,0.0026189745672207,0,0
zacefron,2262103.5,53887887,9847.057142857142,0.0217297590133996,0,0
tatawerneck,976812.5,53554512,6598.756972111554,0.0039563660981687,0,0
bellahadid,1132707.392857143,53359256,2687.933279742765,0.0212083115490955,0,0
robertdowneyjr,2984656.25,53210425,12541.236162361623,0.0404495888203827,0,0
sunnyleone,769200.1041666666,53190031,3678.440476190476,0.0059121324766039,0,0
ladygaga,1435302.7666666668,53092230,13384.041984732825,0.0120651390561714,0,0
beingsalmankhan,1399897.75,52980205,17133.09768637532,0.0129795138347189,0,0
jbalvin,920868.0,52762698,5561.646258503401,0.0088908495326079,0,0
sergioramos,966414.75,52261132,3086.92,0.0161880710203143,0,0
ayutingting92,149139.97506493505,52170594,849.2212543554007,0.0017860786227001,0,0
dishapatani,1615190.0,52062772,6306.800613496933,0.0188253532762796,0,0
mosalah,1786297.25,51823495,12480.288515406162,0.0291824613054767,0,0
433,863448.1813186815,50846051,4092.4105328472815,0.0192951546209638,0,0
hudabeauty,187183.89166666663,50651842,2296.0695517774343,0.0006546970510095,0,0
adele,4739484.5,50542177,32030.802816901407,0.0611485077745656,0,0
michelleobama,707602.75,50389066,6837.59012345679,0.010987462595888,0,0
jamesrodriguez10,1414736.5,49753046,10241.777272727271,0.0086946160261796,0,0
kritisanon,898828.3333333334,49721095,3057.467248908297,0.0167865898802709,0,0
krisjenner,354127.38690476195,49106907,1544.5010600706714,0.0100830284638471,0,0
lelepons,2414815.0,49030990,13184.886617100372,0.0332447473294822,0,0
charlidamelio,4278895.0,48873294,14338.718333333334,0.0324856359308497,0,0
